FeatureID	MeanAbundance	Occupancy	Predicted	Lower	Upper	Classification	Migration	MeanLibrary	Detection	RSquared	DisplayTaxon	StandardizedDeviation
OTU_4272	3.81124993400875e-05	0.333333333333333	0.122225314075824	0.0555555555555556	0.188888888888889	Above neutral	0.102903264863042	17996.3333333333	5.55668747337421e-05	0.711545466386703	Bacillales	6.11440045170911
OTU_236	0.000266500377730576	0.255555555555556	0.644764761382777	0.544444444444444	0.744444444444444	Below neutral	0.102903264863042	17996.3333333333	5.55668747337421e-05	0.711545466386703	Chloroflexi	-7.71517340397751
OTU_399	0.00028598689484912	0.777777777777778	0.673843367366431	0.577777777777778	0.766666666666667	Above neutral	0.102903264863042	17996.3333333333	5.55668747337421e-05	0.711545466386703	Nitrosomonadaceae	2.10323608926383
OTU_1556	0.000380732004325789	0.866666666666667	0.787949791660694	0.7	0.866666666666667	Neutral envelope	0.102903264863042	17996.3333333333	5.55668747337421e-05	0.711545466386703	Subgroup 17	1.82692397480884
OTU_32	0.00119856675394669	1	0.997582061343858	0.988888888888889	1	Neutral envelope	0.102903264863042	17996.3333333333	5.55668747337421e-05	0.711545466386703	Miscellaneous Crenarchaeotic Group	0.217614479052793
OTU_706	3.78982081790307e-05	0.255555555555556	0.121564910098802	0.0555555555555556	0.188888888888889	Above neutral	0.102903264863042	17996.3333333333	5.55668747337421e-05	0.711545466386703	Nakamurella	3.88988515518401
OTU_2246	1.30050606722665e-05	0.111111111111111	0.0427612484813755	0.0111111111111111	0.0888888888888889	Above neutral	0.102903264863042	17996.3333333333	5.55668747337421e-05	0.711545466386703	S085	3.20496710678206
OTU_3692	0.000327911314946803	0.9	0.72959987416538	0.633333333333333	0.822222222222222	Above neutral	0.102903264863042	17996.3333333333	5.55668747337421e-05	0.711545466386703	Rhodobacter	3.6395303555167
OTU_5342	3.56470773099706e-06	0.0444444444444444	0.0118256979641223	0	0.0333333333333333	Above neutral	0.102903264863042	17996.3333333333	5.55668747337421e-05	0.711545466386703	WCHB1-41	2.86258474734597
OTU_50	0.00175140806341983	0.944444444444444	0.999929726247979	1	1	Below neutral	0.102903264863042	17996.3333333333	5.55668747337421e-05	0.711545466386703	Comamonadaceae	-4.99367536231814
OTU_8058	4.48653840113268e-05	0.322222222222222	0.142875659616099	0.0777777777777778	0.222222222222222	Above neutral	0.102903264863042	17996.3333333333	5.55668747337421e-05	0.711545466386703	Mycobacterium	4.86198118305201
OTU_7152	3.64584360081313e-05	0.255555555555556	0.117119716422327	0.0555555555555556	0.188888888888889	Above neutral	0.102903264863042	17996.3333333333	5.55668747337421e-05	0.711545466386703	OPB35 soil group	4.08417062168808
OTU_999	0.000216445286660204	0.577777777777778	0.559982573462309	0.455555555555556	0.666666666666667	Neutral envelope	0.102903264863042	17996.3333333333	5.55668747337421e-05	0.711545466386703	Desulfocapsa	0.34009640328843
