LibraryID	SourceTreatment	SourceWarmed	SourceClipped	BiologicalSampleID	Block	MainPlot	Warming	Clipping	Treatment	TechnicalLibraryIndex	TechnicalLibraryCount
a_C026	UC	no	yes	6CC	Block 6	Block 6 / Ambient	Ambient	Clipped	Ambient + Clipped	1	2
a_C066	UU	no	no	3UC	Block 3	Block 3 / Ambient	Ambient	Unclipped	Ambient + Unclipped	1	2
a_C070	WU	yes	no	5UW	Block 5	Block 5 / Warmed	Warmed	Unclipped	Warmed + Unclipped	1	2
a_C074	UU	no	no	2UC	Block 2	Block 2 / Ambient	Ambient	Unclipped	Ambient + Unclipped	1	3
a_C075	WC	yes	yes	5CW	Block 5	Block 5 / Warmed	Warmed	Clipped	Warmed + Clipped	1	3
a_C077	WU	yes	no	4UW	Block 4	Block 4 / Warmed	Warmed	Unclipped	Warmed + Unclipped	1	3
a_C079	UU	no	no	6UC	Block 6	Block 6 / Ambient	Ambient	Unclipped	Ambient + Unclipped	1	3
a_C081	UC	no	yes	3CC	Block 3	Block 3 / Ambient	Ambient	Clipped	Ambient + Clipped	1	3
a_C082	UC	no	yes	1CC	Block 1	Block 1 / Ambient	Ambient	Clipped	Ambient + Clipped	1	3
a_C083	UU	no	no	6UC	Block 6	Block 6 / Ambient	Ambient	Unclipped	Ambient + Unclipped	2	3
a_C084	WC	yes	yes	4CW	Block 4	Block 4 / Warmed	Warmed	Clipped	Warmed + Clipped	1	2
a_C085	UC	no	yes	1CC	Block 1	Block 1 / Ambient	Ambient	Clipped	Ambient + Clipped	2	3
a_C086	UC	no	yes	3CC	Block 3	Block 3 / Ambient	Ambient	Clipped	Ambient + Clipped	2	3
a_C088	WC	yes	yes	5CW	Block 5	Block 5 / Warmed	Warmed	Clipped	Warmed + Clipped	2	3
a_C089	WC	yes	yes	1CW	Block 1	Block 1 / Warmed	Warmed	Clipped	Warmed + Clipped	1	3
a_C090	WC	yes	yes	3CW	Block 3	Block 3 / Warmed	Warmed	Clipped	Warmed + Clipped	1	3
a_C091	UU	no	no	2UC	Block 2	Block 2 / Ambient	Ambient	Unclipped	Ambient + Unclipped	2	3
a_C093	UU	no	no	2UC	Block 2	Block 2 / Ambient	Ambient	Unclipped	Ambient + Unclipped	3	3
a_C095	WU	yes	no	6UW	Block 6	Block 6 / Warmed	Warmed	Unclipped	Warmed + Unclipped	1	3
a_C096	WC	yes	yes	1CW	Block 1	Block 1 / Warmed	Warmed	Clipped	Warmed + Clipped	2	3
a_C098	WU	yes	no	5UW	Block 5	Block 5 / Warmed	Warmed	Unclipped	Warmed + Unclipped	2	2
a_C099	UU	no	no	4UC	Block 4	Block 4 / Ambient	Ambient	Unclipped	Ambient + Unclipped	1	2
a_C100	WU	yes	no	2UW	Block 2	Block 2 / Warmed	Warmed	Unclipped	Warmed + Unclipped	1	3
a_C101	WU	yes	no	3UW	Block 3	Block 3 / Warmed	Warmed	Unclipped	Warmed + Unclipped	1	2
a_C102	WC	yes	yes	3CW	Block 3	Block 3 / Warmed	Warmed	Clipped	Warmed + Clipped	2	3
a_C116	UC	no	yes	3CC	Block 3	Block 3 / Ambient	Ambient	Clipped	Ambient + Clipped	3	3
a_C125	UC	no	yes	4CC	Block 4	Block 4 / Ambient	Ambient	Clipped	Ambient + Clipped	1	2
