FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	TaxonomyStatus
OTU_R0								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R100								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10000								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10003								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10004								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10006								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10007								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10008								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10009								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10015								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1002								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10026								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10028								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1003								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10030								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10031								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10033								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10034								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10035								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10037								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10038								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10039								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1004								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10040								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10042								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10043								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10044								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10055								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10057								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10058								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1006								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10061								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10062								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10063								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1007								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10072								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10074								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10076								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10077								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10078								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1008								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10084								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10085								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10089								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1009								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10091								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10096								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10097								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10098								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R101								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1010								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10100								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10101								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10103								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10108								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1011								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10112								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10114								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10115								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10116								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1012								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10128								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1013								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10133								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10136								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1014								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10144								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10147								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1015								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10150								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10151								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10153								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10154								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10155								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10158								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10159								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1016								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10160								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10162								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10163								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10164								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10165								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1017								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10172								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10174								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10177								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1018								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10183								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10185								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10189								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1019								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10190								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10193								Not distributed with phyloseq::soilrep; not used in this analysis
