Model	Term	Estimate	SE	DF	Lower	Upper	PValue
Random intercept	(Intercept)	2.67835921613745	0.111831815729023	174	2.4576377187407	2.8990807135342	5.7086398204036e-57
Random intercept	CohortRural African	-0.649725212700334	0.167198629735362	36	-0.988819750638773	-0.310630674761895	0.00041997155481394
Random intercept	TimeFactor2	0.195833568577057	0.13710035900541	174	-0.0747602363794061	0.466427373533519	0.154970531811776
Random intercept	TimeFactor3	0.0693423785591486	0.13710035900541	174	-0.201251426397314	0.339936183515611	0.613652476793049
Random intercept	TimeFactor4	-0.00210366383026647	0.139014506251623	174	-0.276475404821011	0.272268077160478	0.987943656126822
Random intercept	TimeFactor5	-0.010935644481028	0.13904442065438	174	-0.28536642727242	0.263495138310364	0.937402529460056
Random intercept	TimeFactor6	-0.0362574355783508	0.13904442065438	174	-0.310688218369743	0.238173347213042	0.794584767646667
Random intercept	CohortRural African:TimeFactor2	-0.0404333133820568	0.206958599730573	174	-0.448905730054191	0.368039103290077	0.845331964675465
Random intercept	CohortRural African:TimeFactor3	0.210851518417988	0.204977376183134	174	-0.193710574298323	0.615413611134299	0.305068442804745
Random intercept	CohortRural African:TimeFactor4	0.528823765517903	0.206262573570417	174	0.121725089719913	0.935922441315892	0.0111975847071192
Random intercept	CohortRural African:TimeFactor5	0.400888670734275	0.210460590216772	174	-0.0144955945825787	0.81627293605113	0.0584536277299702
Random intercept	CohortRural African:TimeFactor6	0.604145862972467	0.206282736123559	174	0.197007392515939	1.011284333429	0.00385942115948463
Random intercept + AR(1)	(Intercept)	2.67835921613745	0.111726064674315	174	2.45784643869212	2.89887199358278	5.03006686936643e-57
Random intercept + AR(1)	CohortRural African	-0.649725212700334	0.167040522390641	36	-0.988499094081434	-0.310951331319233	0.000415525012473734
Random intercept + AR(1)	TimeFactor2	0.195833568577056	0.130826079040087	174	-0.0623767437212149	0.454043880875328	0.136231001002053
Random intercept + AR(1)	TimeFactor3	0.0693423785591481	0.139581266376407	174	-0.206147972038278	0.344832729156575	0.619965228071557
Random intercept + AR(1)	TimeFactor4	0.000714873281277813	0.142551218076628	174	-0.280637245563363	0.282066992125918	0.996004488540653
Random intercept + AR(1)	TimeFactor5	-0.00680886678653049	0.142808683138107	174	-0.28866914221905	0.275051408645989	0.962027355711864
Random intercept + AR(1)	TimeFactor6	-0.0346508288367424	0.142916328344188	174	-0.316723562691034	0.247421905017549	0.808712894744933
Random intercept + AR(1)	CohortRural African:TimeFactor2	-0.0454693308602188	0.197601077036647	174	-0.435472885094028	0.344534223373591	0.818279160404591
Random intercept + AR(1)	CohortRural African:TimeFactor3	0.210851518417988	0.208686555992358	174	-0.201031350736305	0.622734387572281	0.313718982303051
Random intercept + AR(1)	CohortRural African:TimeFactor4	0.526005228406358	0.211642451854305	174	0.108288332892529	0.943722123920186	0.0138867963311057
Random intercept + AR(1)	CohortRural African:TimeFactor5	0.400006282606854	0.21587778089447	174	-0.0260698455780974	0.826082410791806	0.0655860553414174
Random intercept + AR(1)	CohortRural African:TimeFactor6	0.602539256230858	0.212038794355373	174	0.18404010291546	1.02103840954626	0.00502443497785176
