Variable	Role	UsedInEnvfit	UsedInPrimaryMantel	UsedInPrimaryVPA	Missing	UniqueValues	Mean	SD	Minimum	Maximum
Latitude	Geographic	TRUE	TRUE	FALSE	0	85	37.54939488148148	10.575092449136612	19.6250833333333	52.9870833333333
Longitude	Geographic	TRUE	TRUE	FALSE	0	86	112.75353045555558	11.798371757067319	91.732	134.66925
Altitude	Geographic context	TRUE	FALSE	FALSE	0	65	1214.8555555555556	1540.5291704374797	0	4728
Temperature	Climate	TRUE	TRUE	FALSE	0	27	6.984444444444445	9.394175952297338	-4.3	24.4
Precipitation	Climate	TRUE	TRUE	FALSE	0	27	660.8555555555556	455.0782019747916	39	1837
TOC	Edaphic	TRUE	TRUE	TRUE	0	88	7.586777777777778	12.824889847986366	0.27	67.53
NH4	Edaphic	TRUE	TRUE	TRUE	0	90	18.679294430555554	15.541275709170334	2.53070875	108.063356
NO3	Edaphic	TRUE	TRUE	TRUE	0	49	1.6026666666666667	2.1743472738768594	0	11.76
pH	Edaphic	TRUE	TRUE	TRUE	0	79	7.785111111111111	1.3246973319303812	5	10.62
Conductivity	Edaphic	TRUE	TRUE	TRUE	0	89	1013.4188888888889	1667.9278796343901	13.1	10800
TN	Edaphic sensitivity	TRUE	FALSE	FALSE	0	37	0.23622222222222222	0.3513523721113388	0.02	1.81
