Metric	SampleA	SampleB	HabitatA	HabitatB	PairType	Distance
Bray-Curtis	CL3	CC1	Soil	Soil	Within habitat	0.61028
Bray-Curtis	CL3	SV1	Soil	Soil	Within habitat	0.85374
Bray-Curtis	CC1	SV1	Soil	Soil	Within habitat	0.7944
Bray-Curtis	CL3	M31Fcsw	Soil	Human-associated	Between habitats	0.99532
Bray-Curtis	CC1	M31Fcsw	Soil	Human-associated	Between habitats	0.9977
Bray-Curtis	SV1	M31Fcsw	Soil	Human-associated	Between habitats	0.99724
Bray-Curtis	CL3	M11Fcsw	Soil	Human-associated	Between habitats	0.99532
Bray-Curtis	CC1	M11Fcsw	Soil	Human-associated	Between habitats	0.99818
Bray-Curtis	SV1	M11Fcsw	Soil	Human-associated	Between habitats	0.99752
Bray-Curtis	M31Fcsw	M11Fcsw	Human-associated	Human-associated	Within habitat	0.55032
Bray-Curtis	CL3	M31Plmr	Soil	Human-associated	Between habitats	0.98744
Bray-Curtis	CC1	M31Plmr	Soil	Human-associated	Between habitats	0.97986
Bray-Curtis	SV1	M31Plmr	Soil	Human-associated	Between habitats	0.98328
Bray-Curtis	M31Fcsw	M31Plmr	Human-associated	Human-associated	Within habitat	0.98706
Bray-Curtis	M11Fcsw	M31Plmr	Human-associated	Human-associated	Within habitat	0.99586
Bray-Curtis	CL3	M11Plmr	Soil	Human-associated	Between habitats	0.95702
Bray-Curtis	CC1	M11Plmr	Soil	Human-associated	Between habitats	0.93134
Bray-Curtis	SV1	M11Plmr	Soil	Human-associated	Between habitats	0.9368
Bray-Curtis	M31Fcsw	M11Plmr	Human-associated	Human-associated	Within habitat	0.9838
Bray-Curtis	M11Fcsw	M11Plmr	Human-associated	Human-associated	Within habitat	0.9908
Bray-Curtis	M31Plmr	M11Plmr	Human-associated	Human-associated	Within habitat	0.80832
Bray-Curtis	CL3	F21Plmr	Soil	Human-associated	Between habitats	0.9766
Bray-Curtis	CC1	F21Plmr	Soil	Human-associated	Between habitats	0.9581
Bray-Curtis	SV1	F21Plmr	Soil	Human-associated	Between habitats	0.9539
Bray-Curtis	M31Fcsw	F21Plmr	Human-associated	Human-associated	Within habitat	0.99132
Bray-Curtis	M11Fcsw	F21Plmr	Human-associated	Human-associated	Within habitat	0.9963
Bray-Curtis	M31Plmr	F21Plmr	Human-associated	Human-associated	Within habitat	0.47608
Bray-Curtis	M11Plmr	F21Plmr	Human-associated	Human-associated	Within habitat	0.7409
Bray-Curtis	CL3	M31Tong	Soil	Human-associated	Between habitats	0.99632
Bray-Curtis	CC1	M31Tong	Soil	Human-associated	Between habitats	0.99702
Bray-Curtis	SV1	M31Tong	Soil	Human-associated	Between habitats	0.99634
Bray-Curtis	M31Fcsw	M31Tong	Human-associated	Human-associated	Within habitat	0.99676
Bray-Curtis	M11Fcsw	M31Tong	Human-associated	Human-associated	Within habitat	0.9975
Bray-Curtis	M31Plmr	M31Tong	Human-associated	Human-associated	Within habitat	0.73348
Bray-Curtis	M11Plmr	M31Tong	Human-associated	Human-associated	Within habitat	0.958
Bray-Curtis	F21Plmr	M31Tong	Human-associated	Human-associated	Within habitat	0.76892
Bray-Curtis	CL3	M11Tong	Soil	Human-associated	Between habitats	0.98188
Bray-Curtis	CC1	M11Tong	Soil	Human-associated	Between habitats	0.98034
Bray-Curtis	SV1	M11Tong	Soil	Human-associated	Between habitats	0.98604
