FeatureID	TotalCount	Prevalence	PassTotalCountGT10	PassPrevalenceGT10Percent	Retained
549322	259	0.19230769230769232	TRUE	TRUE	TRUE
522457	8	0.07692307692307693	FALSE	FALSE	FALSE
951	1	0.038461538461538464	FALSE	FALSE	FALSE
244423	51	0.07692307692307693	TRUE	FALSE	FALSE
586076	3	0.07692307692307693	FALSE	FALSE	FALSE
246140	4	0.07692307692307693	FALSE	FALSE	FALSE
143239	11	0.11538461538461539	TRUE	TRUE	TRUE
244960	1	0.038461538461538464	FALSE	FALSE	FALSE
255340	352	0.23076923076923078	TRUE	TRUE	TRUE
144887	8	0.07692307692307693	FALSE	FALSE	FALSE
141782	44	0.07692307692307693	TRUE	FALSE	FALSE
215972	3	0.038461538461538464	FALSE	FALSE	FALSE
31759	1	0.038461538461538464	FALSE	FALSE	FALSE
30678	4	0.07692307692307693	FALSE	FALSE	FALSE
138353	21	0.07692307692307693	TRUE	FALSE	FALSE
406058	2	0.07692307692307693	FALSE	FALSE	FALSE
30405	830	0.23076923076923078	TRUE	TRUE	TRUE
1126	9	0.038461538461538464	FALSE	FALSE	FALSE
46043	441	0.19230769230769232	TRUE	TRUE	TRUE
512519	11	0.07692307692307693	TRUE	FALSE	FALSE
554594	7	0.07692307692307693	FALSE	FALSE	FALSE
210741	8	0.038461538461538464	FALSE	FALSE	FALSE
550229	4	0.07692307692307693	FALSE	FALSE	FALSE
105798	5	0.07692307692307693	FALSE	FALSE	FALSE
183473	7	0.07692307692307693	FALSE	FALSE	FALSE
541313	2	0.07692307692307693	FALSE	FALSE	FALSE
540305	3731	0.5	TRUE	TRUE	TRUE
511243	9	0.07692307692307693	FALSE	FALSE	FALSE
568829	1	0.038461538461538464	FALSE	FALSE	FALSE
185612	47	0.11538461538461539	TRUE	TRUE	TRUE
321018	130	0.15384615384615385	TRUE	TRUE	TRUE
549041	4	0.07692307692307693	FALSE	FALSE	FALSE
153762	1	0.038461538461538464	FALSE	FALSE	FALSE
155789	1	0.038461538461538464	FALSE	FALSE	FALSE
155495	1	0.038461538461538464	FALSE	FALSE	FALSE
1029	1	0.038461538461538464	FALSE	FALSE	FALSE
155526	474	0.2692307692307692	TRUE	TRUE	TRUE
197473	105	0.19230769230769232	TRUE	TRUE	TRUE
315545	2695	0.5	TRUE	TRUE	TRUE
348549	1790	0.4230769230769231	TRUE	TRUE	TRUE
559394	35	0.19230769230769232	TRUE	TRUE	TRUE
341551	3	0.07692307692307693	FALSE	FALSE	FALSE
108964	10067	0.6538461538461539	TRUE	TRUE	TRUE
330416	4	0.038461538461538464	FALSE	FALSE	FALSE
573586	3	0.07692307692307693	FALSE	FALSE	FALSE
