SampleID	PC1	PC2	PC3
CL3	0.418070240339	-0.234382293112	-0.183400787024
CC1	0.495445663429	-0.20105613388	-0.218347134681
SV1	0.280761062264	-0.18106563587	-0.226228542968
M31Fcsw	-0.165832547081	-0.21440505633	0.171446975356
M11Fcsw	-0.130470242788	-0.177033377282	0.148325927867
M31Plmr	-0.069879061168	-0.121640365847	-0.165753851658
M11Plmr	0.072702659476	-0.112967062392	-0.09415546715
F21Plmr	0.004315700566	-0.106785543134	-0.159417621584
M31Tong	-0.149223461939	0.054782065829	-0.033113601801
M11Tong	-0.057238720361	0.049229057734	-0.024322423433
LMEpi24M	-0.011735068477	0.094630530185	0.014549698119
SLEpi20M	0.037082110781	0.111263447262	-0.043239953012
AQC1cm	0.188515223658	0.358507924686	0.26280256455
AQC4cm	0.245527555261	0.437540299584	0.171958312886
AQC7cm	0.266982662328	0.407230811737	0.180188406554
NP2	-0.187041535778	0.209099187388	-0.252350487062
NP3	-0.251269498226	0.184769735668	-0.302463290797
NP5	-0.278341762199	0.239636959245	-0.279423397866
TRRsed1	-0.11365762095	0.000454143727	-0.076621484714
TRRsed2	-0.113330852132	-0.025499968795	-0.178122804858
TRRsed3	-0.12311732059	-0.066249027403	-0.01385161576
TS28	-0.129084763855	-0.17817566804	0.213605037431
TS29	-0.121229795306	-0.156489094102	0.202967655889
Even1	-0.034303155823	-0.106189303223	0.314290450092
Even2	-0.024730220708	-0.129999515183	0.288370769906
Even3	-0.048917250721	-0.135206118453	0.282306665719
