	CL3	CC1	SV1	M31Fcsw	M11Fcsw	M31Plmr	M11Plmr	F21Plmr	M31Tong	M11Tong	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm	NP2	NP3	NP5	TRRsed1	TRRsed2	TRRsed3	TS28	TS29	Even1	Even2	Even3
CL3	0.0	0.459440114245	0.802203909675	3.303976097406	3.105213822658	2.612083190004	1.914166482953	2.254584957837	3.313643986215	2.886370967054	2.836775866343	2.659811868116	3.531116352071	3.66397185319	3.512530252294	3.930133326451	4.179398832317	4.429924217603	3.021206970326	2.975764816354	2.982835619326	3.207846880633	3.159519321046	3.056184622538	2.94024668499	3.019787969201
CC1	0.459440114245	0.0	1.129734193312	3.729648229712	3.520531993053	2.977706264767	2.276226802258	2.60745342768	3.629564445071	3.188034738517	3.10649657194	2.894684785911	3.609688455046	3.674225612769	3.519926863434	4.154749843752	4.420237213699	4.661689223756	3.350512457765	3.29940754173	3.351070361701	3.621045841437	3.566416431978	3.427590642062	3.320938265644	3.406733321309
SV1	0.802203909675	1.129734193312	0.0	2.783928818334	2.566980315643	1.858110615411	1.221938655455	1.49859005293	2.596496669005	2.196925673196	2.197788233049	2.016620489656	3.237028539285	3.384672270445	3.261674860239	3.167487823692	3.397020239251	3.656882346676	2.288248162766	2.201037855735	2.292246388408	2.716415899486	2.654397170051	2.67087807138	2.55562197691	2.61242626616
M31Fcsw	3.303976097406	3.729648229712	2.783928818334	0.0	0.28429616745	1.554127783876	1.719844644013	1.710362442267	1.674507234098	1.710200761874	1.916764402371	2.196502528473	3.445291437849	3.946040690383	3.880058889523	2.901841424708	2.991819897627	3.170080380501	1.576687272903	1.806076584876	1.133770185961	0.311224787097	0.390316493215	1.041969793469	0.972942270405	0.85347424136
M11Fcsw	3.105213822658	3.520531993053	2.566980315643	0.28429616745	0.0	1.357397372367	1.469984102935	1.479429930941	1.461030539561	1.449719329833	1.645132519677	1.91908947353	3.194120741973	3.682328170733	3.615433860938	2.706219616517	2.825103340776	3.006436649907	1.350257103115	1.601620290984	0.91040185668	0.266561267969	0.242560986419	0.906396549861	0.831168341075	0.723466943563
M31Plmr	2.612083190004	2.977706264767	1.858110615411	1.554127783876	1.357397372367	0.0	0.81385087552	0.396594896042	1.070122003719	0.994464308874	1.300671704194	1.365706454291	3.187206440694	3.475806927829	3.428044465021	1.866057424805	1.970685840758	2.240890018641	0.7170850598	0.547982498349	0.695762390574	1.61227974081	1.53746282598	1.963705498536	1.878602029655	1.839262809109
M11Plmr	1.914166482953	2.276226802258	1.221938655455	1.719844644013	1.469984102935	0.81385087552	0.0	0.459419493629	1.437739631946	1.07547156383	1.178714205222	1.151412399255	2.752362286274	3.045775492822	2.959390901502	2.295275295143	2.51318438099	2.757194716042	1.129036643352	1.153296174536	1.077535148802	1.653454468944	1.56891974747	1.720992521492	1.621747666568	1.640986079064
F21Plmr	2.254584957837	2.60745342768	1.49859005293	1.710362442267	1.479429930941	0.396594896042	0.459419493629	0.0	1.2063879152	0.96246060196	1.182733652954	1.174565657381	2.963337289014	3.231591921998	3.169491968371	1.975389631864	2.144335603879	2.408140762944	0.856083934175	0.753762864319	0.877632482882	1.70894181048	1.624931445051	1.925579655476	1.835031944641	1.82349804682
M31Tong	3.313643986215	3.629564445071	2.596496669005	1.674507234098	1.461030539561	1.070122003719	1.437739631946	1.2063879152	0.0	0.48523373711	0.775123266876	1.014557040383	2.601543800464	2.925539427238	2.923629318049	1.271210314485	1.461795442858	1.617239631297	0.358893520177	0.69842717044	0.64453682037	1.637771162729	1.526265107627	1.833494298205	1.83488050203	1.785372499074
M11Tong	2.886370967054	3.188034738517	2.196925673196	1.710200761874	1.449719329833	0.994464308874	1.07547156383	0.96246060196	0.48523373711	0.0	0.361725560855	0.590494512267	2.290769275441	2.612441577221	2.586642602786	1.486378776603	1.752797597425	1.922059841826	0.434546956558	0.768269335766	0.683908411795	1.614915694221	1.492792627475	1.667598519584	1.656208068866	1.639297844632
LMEpi24M	2.836775866343	3.10649657194	2.197788233049	1.916764402371	1.645132519677	1.300671704194	1.178714205222	1.182733652954	0.775123266876	0.361725560855	0.0	0.353823074372	1.93237770707	2.258635895122	2.22896166983	1.611688050295	1.93335981408	2.069489017926	0.795421709006	1.100208972427	1.003017932182	1.770295942536	1.64311255777	1.669542884444	1.675563255823	1.682972919066
SLEpi20M	2.659811868116	2.894684785911	2.016620489656	2.196502528473	1.91908947353	1.365706454291	1.151412399255	1.174565657381	1.014557040383	0.590494512267	0.353823074372	0.0	1.877623651553	2.119182339067	2.086192739135	1.594090713594	1.943528991766	2.091294283326	0.97438783966	1.168275362174	1.24012125552	2.05679628321	1.93197386665	1.937186438335	1.930352668208	1.951119003923
AQC1cm	3.531116352071	3.609688455046	3.237028539285	3.445291437849	3.194120741973	3.187206440694	2.752362286274	2.963337289014	2.601543800464	2.290769275441	1.93237770707	1.877623651553	0.0	0.636833871707	0.587159087782	2.984985153457	3.386437372371	3.3855631913	2.720368941973	3.010374268949	2.87175430769	3.184014856533	3.069496107857	2.654492786135	2.729475689535	2.804088446297
AQC4cm	3.66397185319	3.674225612769	3.384672270445	3.946040690383	3.682328170733	3.475806927829	3.045775492822	3.231591921998	2.925539427238	2.612441577221	2.258635895122	2.119182339067	0.636833871707	0.0	0.197618075408	3.068346979653	3.479411725537	3.465200011304	3.03167082382	3.262124270752	3.250440701288	3.702196740393	3.582752532718	3.215888959263	3.277342769238	3.350781536797
AQC7cm	3.512530252294	3.519926863434	3.261674860239	3.880058889523	3.615433860938	3.428044465021	2.959390901502	3.169491968371	2.923629318049	2.586642602786	2.22896166983	2.086192739135	0.587159087782	0.197618075408	0.0	3.129842302358	3.542294709489	3.543914153493	3.011583688338	3.244042875938	3.212432328156	3.63112867057	3.513575714417	3.126912573272	3.184117209632	3.263230780035
NP2	3.930133326451	4.154749843752	3.167487823692	2.901841424708	2.706219616517	1.866057424805	2.295275295143	1.975389631864	1.271210314485	1.486378776603	1.611688050295	1.594090713594	2.984985153457	3.068346979653	3.129842302358	0.0	0.413815327188	0.523150244913	1.405098613511	1.324351402169	1.826237584496	2.899570661386	2.792131810345	3.081266300605	3.086987847355	3.047249506543
NP3	4.179398832317	4.420237213699	3.397020239251	2.991819897627	2.825103340776	1.970685840758	2.51318438099	2.144335603879	1.461795442858	1.752797597425	1.93335981408	1.943528991766	3.386437372371	3.479411725537	3.542294709489	0.413815327188	0.0	0.316289880763	1.57929415342	1.440878895933	1.964303842884	3.029787129232	2.932717658163	3.294571989293	3.294794763772	3.241716061867
NP5	4.429924217603	4.661689223756	3.656882346676	3.170080380501	3.006436649907	2.240890018641	2.757194716042	2.408140762944	1.617239631297	1.922059841826	2.069489017926	2.091294283326	3.3855631913	3.465200011304	3.543914153493	0.523150244913	0.316289880763	0.0	1.786916582957	1.701079514809	2.167418064238	3.195617896991	3.096760775139	3.432021056566	3.445475939518	3.39214866625
