SampleID	HabitatClass	OriginalReads	RarefiedReads	FeaturesBefore	FeaturesAfter	ReadRetention
CL3	Soil	864077	50000	6964	3256	0.057865213401120504
CC1	Soil	1135457	50000	7679	3644	0.04403513299050515
SV1	Soil	697509	50000	5729	2708	0.07168366286313152
M31Fcsw	Human-associated	1543451	50000	2667	714	0.0323949383556718
M11Fcsw	Human-associated	2076476	50000	2574	547	0.024079257357176292
M31Plmr	Human-associated	718943	50000	3214	1244	0.0695465426327261
M11Plmr	Human-associated	433894	50000	4134	2177	0.11523551835240865
F21Plmr	Human-associated	186297	50000	2757	1693	0.2683886482337343
M31Tong	Human-associated	2000402	50000	2966	486	0.024994976009822027
M11Tong	Human-associated	100187	50000	2067	1462	0.49906674518650124
LMEpi24M	Freshwater	2117592	50000	3569	749	0.023611725015961527
SLEpi20M	Freshwater	1217312	50000	3289	810	0.041074104255934385
AQC1cm	Freshwater	1167748	50000	6290	2122	0.0428174571911063
AQC4cm	Freshwater	2357181	50000	6582	1922	0.02121177796698684
AQC7cm	Freshwater	1699293	50000	6386	2114	0.02942400162891273
NP2	Marine/estuarine	523634	50000	2547	906	0.09548654212675266
NP3	Marine/estuarine	1478965	50000	3893	1111	0.033807426139225744
NP5	Marine/estuarine	1652754	50000	3427	813	0.030252536070098757
TRRsed1	Marine/estuarine	58688	50000	2995	2819	0.8519629225736096
TRRsed2	Marine/estuarine	493126	50000	4841	2026	0.1013939642200979
TRRsed3	Marine/estuarine	279704	50000	4581	2295	0.1787604038555044
TS28	Human-associated	937466	50000	2679	810	0.053335267625705896
TS29	Human-associated	1211071	50000	2629	670	0.04128577102415961
Even1	Mock	1216137	50000	4213	812	0.04111378898923394
Even2	Mock	971073	50000	3130	681	0.051489434882856386
Even3	Mock	1078241	50000	2776	595	0.04637182225495042
