Metric	SampleID	HabitatClass	Axis1	Axis2	Axis1Explained	Axis2Explained	Correction
Bray-Curtis	CL3	Soil	-0.09754816124652502	0.01987821665070277	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	CC1	Soil	-0.12182897598564787	0.020317976108832805	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	SV1	Soil	-0.08433260759244204	-0.01692362202436937	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	M31Fcsw	Human-associated	0.308542670586233	0.02319273816082128	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	M11Fcsw	Human-associated	0.28371809900500844	0.026493464115538642	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	M31Plmr	Human-associated	-0.15539653520711347	-0.45410124516114603	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	M11Plmr	Human-associated	-0.11170317444143467	-0.22339082782383043	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	F21Plmr	Human-associated	-0.16441899580022143	-0.4435390259773068	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	M31Tong	Human-associated	-0.13664782309726758	-0.3738251989474558	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	M11Tong	Human-associated	-0.18800629454382917	-0.3689864643277525	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	LMEpi24M	Freshwater	-0.10894754442415505	-0.07175440961037423	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	SLEpi20M	Freshwater	-0.10044420868476135	-0.01150524751377348	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	AQC1cm	Freshwater	-0.32108921100426485	0.4395442204773353	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	AQC4cm	Freshwater	-0.3253975752526827	0.4538043285902245	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	AQC7cm	Freshwater	-0.32623081326872905	0.4475298624633395	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	NP2	Marine/estuarine	-0.12162775463730399	0.05910943629203445	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	NP3	Marine/estuarine	-0.11270332916944406	0.04540116466899319	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	NP5	Marine/estuarine	-0.13720494893824625	0.08726299240378092	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	TRRsed1	Marine/estuarine	-0.04120423597885571	0.023752118043268336	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	TRRsed2	Marine/estuarine	-0.057235805164243106	-0.01361429338086577	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	TRRsed3	Marine/estuarine	0.00883884009830822	0.011653668167256746	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	TS28	Human-associated	0.3124205319261943	0.03168405841653418	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	TS29	Human-associated	0.27322883776980106	0.028537238170361256	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	Even1	Mock	0.5081497154435861	0.08858019590996642	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	Even2	Mock	0.5069220321890617	0.08565687476768635	0.14680524519640037	0.12142700699492073	None
Bray-Curtis	Even3	Mock	0.510147267418973	0.0852417813601984	0.14680524519640037	0.12142700699492073	None
Jaccard	CL3	Soil	-0.20193056139115173	-0.37558282611010535	0.1385912247374287	0.1052680696519533	None
Jaccard	CC1	Soil	-0.24823542461736336	-0.3882188785912134	0.1385912247374287	0.1052680696519533	None
Jaccard	SV1	Soil	-0.18134812989390817	-0.3510728792671568	0.1385912247374287	0.1052680696519533	None
Jaccard	M31Fcsw	Human-associated	0.40988457084460234	-0.08062576571763935	0.1385912247374287	0.1052680696519533	None
Jaccard	M11Fcsw	Human-associated	0.3785929125627878	-0.06213489410880281	0.1385912247374287	0.1052680696519533	None
Jaccard	M31Plmr	Human-associated	0.0032733500722708438	-0.14315565279288714	0.1385912247374287	0.1052680696519533	None
Jaccard	M11Plmr	Human-associated	-0.10678913910767218	-0.22284364182334798	0.1385912247374287	0.1052680696519533	None
Jaccard	F21Plmr	Human-associated	-0.08219471293097365	-0.16626264285128908	0.1385912247374287	0.1052680696519533	None
Jaccard	M31Tong	Human-associated	0.07243884172444269	0.16535389470201076	0.1385912247374287	0.1052680696519533	None
Jaccard	M11Tong	Human-associated	-0.0787795688877257	0.11479598168167036	0.1385912247374287	0.1052680696519533	None
Jaccard	LMEpi24M	Freshwater	-0.094647709488244	0.05920279830647066	0.1385912247374287	0.1052680696519533	None
Jaccard	SLEpi20M	Freshwater	-0.14007231367273715	0.049911633579334945	0.1385912247374287	0.1052680696519533	None
Jaccard	AQC1cm	Freshwater	-0.26717610072000064	-0.002860787926670543	0.1385912247374287	0.1052680696519533	None
Jaccard	AQC4cm	Freshwater	-0.3121042518974708	0.016528014819583187	0.1385912247374287	0.1052680696519533	None
Jaccard	AQC7cm	Freshwater	-0.32078227553613503	-0.021952913348649624	0.1385912247374287	0.1052680696519533	None
Jaccard	NP2	Marine/estuarine	-0.12348365332251592	0.35153670160892087	0.1385912247374287	0.1052680696519533	None
Jaccard	NP3	Marine/estuarine	-0.06693975238782883	0.3528107548125454	0.1385912247374287	0.1052680696519533	None
Jaccard	NP5	Marine/estuarine	-0.04360417603862866	0.37641144279464694	0.1385912247374287	0.1052680696519533	None
Jaccard	TRRsed1	Marine/estuarine	-0.12267708074966066	0.21097320382753723	0.1385912247374287	0.1052680696519533	None
Jaccard	TRRsed2	Marine/estuarine	-0.11975020670043697	0.18436042633281377	0.1385912247374287	0.1052680696519533	None
Jaccard	TRRsed3	Marine/estuarine	-0.0370101721866329	0.14494403991241506	0.1385912247374287	0.1052680696519533	None
Jaccard	TS28	Human-associated	0.40660420015854276	-0.044018382536814185	0.1385912247374287	0.1052680696519533	None
