feature_id	sequence_length	gc_fraction	frequency	samples_observed	in_placements	in_output_tree	in_filtered_table	in_removed_table	candidate_placements	top_likelihood_weight	pendant_length	distal_length	output_tip_branch_length
003d0470f23082c7bf6de11e71a56898	253	0.573123	10	1	True	True	True	False	7	0.8936085	6.113515e-06	0.0035569125	6.11352e-06
0118d57337bccab8f376ba2917c68eb5	253	0.494071	3	1	True	True	True	False	6	0.84654284	0.031955626	0.0056133773	0.0319556
020f04df345de3ba12ecf913a853b686	254	0.488189	2	1	True	True	True	False	2	0.9899794	0.13006693	0.054484542	0.130067
029f16d7439ba12681fbf6940821b468	253	0.529644	4	1	True	True	True	False	2	0.98683053	0.03521437	0.0065245284	0.0352144
02b4cbe5c2955ab2f66dc82cdf6dad64	253	0.557312	92	3	True	True	True	False	7	0.14285715	6.113515e-06	5.000002e-07	6.11352e-06
033b3477cc2e64b426992eee9236d268	253	0.517787	3	1	True	True	True	False	5	0.47931835	0.0185585	0.003608833	0.0185585
0413f9fe237af7a8c9c37b0825a63520	254	0.559055	14	1	True	True	True	False	7	0.65394986	0.095752455	0.0042249956	0.0957525
07d28b94cbd613e425c69c5178e40a06	255	0.45098	2	1	True	True	True	False	5	0.32863697	0.10493413	0.011405175	0.104934
0885d87ef62f2ec47947bcfbe14ef78f	254	0.566929	5	1	True	True	True	False	3	0.9542761	0.11375043	0.016913274	0.11375
08bdc6c81f6b9daab3d132b54e1d45bc	253	0.561265	7	1	True	True	True	False	7	0.14285715	6.113515e-06	5.000002e-07	6.11352e-06
08e82441af4098baf31f236034ea249b	253	0.521739	2	1	True	True	True	False	1	1.0	0.060384598	0.008631476	0.0603846
096af19a014f877223e5ff2d8b1433c3	253	0.474308	5	1	True	True	True	False	1	1.0	0.0360452	0.007882624	0.0360452
0a9c0f5806bd6605a6be8c1c5fab2803	253	0.58498	5	1	True	True	True	False	7	0.18306698	0.004388571	9.541802e-06	0.00438857
0b3152b92e28d3ab3d32c8247beff2d3	253	0.537549	7	1	True	True	True	False	4	0.5807936	0.025012443	0.0032169623	0.0250124
0bfb11bc0ab57849fe2c5ec8a5deab88	253	0.537549	2	1	True	True	True	False	7	0.4896726	0.2442945	0.0034926462	0.244294
0c6ec4d45af4de39069620764467aa05	254	0.53937	2	1	True	True	True	False	6	0.6696855	0.1498985	0.110606216	0.149898
0d6dcaae2682704e655e8c12d0a9e3d2	254	0.531496	21	1	True	True	True	False	1	1.0	0.055401992	0.033765074	0.055402
0dfa02006f244358216a64cb34291c06	254	0.535433	25	2	True	True	True	False	1	1.0	0.04320164	0.04327326	0.0432016
0e070507abba4160021ce83993fa8988	253	0.545455	2	1	True	True	True	False	4	0.35774672	6.113515e-06	7.692928e-06	6.11352e-06
0e47b1c8584c7a957e4ec39127224c0f	253	0.525692	9	1	True	True	True	False	7	0.44272512	6.113515e-06	0.00081279024	6.11352e-06
1059d2483862d83ac9f6c0e5d65166ff	253	0.549407	8	2	True	True	True	False	5	0.83688194	0.14257574	0.033387158	0.142576
10e1a3b243a63b2e006fff8b588dd89e	253	0.541502	5	1	True	True	True	False	1	1.0	0.019485304	0.014844153	0.0194853
1118e439f5e09d71f0ab4a2f93f3eda7	254	0.527559	2	1	True	True	True	False	3	0.89577734	0.1590837	0.011930058	0.159084
1304d0f9dc2397bbf02e61577a2f5adc	253	0.521739	25	2	True	True	True	False	7	0.4008396	0.26375857	0.047006253	0.263759
132bee48373460dce6dc3682fc023242	253	0.573123	6	1	True	True	True	False	1	1.0	0.0012179589	0.025040269	0.00121796
145c63ee007bff033211e7acb00c2ea4	253	0.537549	3	1	True	True	True	False	7	0.25072768	0.21323362	0.021176325	0.213234
145dd81c19bf3ceb88f911840da09753	253	0.509881	2	1	True	True	True	False	3	0.95626366	0.061051555	0.033873055	0.0610516
153f5dc3a17e6cf9df0cac4a4626f744	254	0.429134	3	1	True	True	True	False	7	0.577875	0.16454004	0.065188155	0.16454
157ff7048c408a2243548ccc631e92c7	253	0.541502	2	1	True	True	True	False	1	1.0	0.10123216	0.022157922	0.101232
160083d0a5f65a88f14333860e7aac77	253	0.498024	7	2	True	True	True	False	1	1.0	0.012084506	0.0057331086	0.0120845
