Rank	Taxon	RankQualifiedTaxon	SampleID	RelativeAbundance	Percent	GroupCode	Group
Phylum	Acetothermia	P · Acetothermia	S1	0	0	IW	Inland wetland
Phylum	Acidobacteria	P · Acidobacteria	S1	0.11882389789366533	11.882389789366533	IW	Inland wetland
Phylum	Actinobacteria	P · Actinobacteria	S1	0.1217602380393078	12.17602380393078	IW	Inland wetland
Phylum	Aerophobetes	P · Aerophobetes	S1	0	0	IW	Inland wetland
Phylum	Aminicenantes	P · Aminicenantes	S1	9.396288466055908e-4	0.09396288466055908	IW	Inland wetland
Phylum	Armatimonadetes	P · Armatimonadetes	S1	0.005950982695168742	0.5950982695168742	IW	Inland wetland
Phylum	Atribacteria	P · Atribacteria	S1	0	0	IW	Inland wetland
Phylum	Bacteroidetes	P · Bacteroidetes	S1	0.18072194816380863	18.07219481638086	IW	Inland wetland
Phylum	Caldiserica	P · Caldiserica	S1	2.349072116513977e-4	0.02349072116513977	IW	Inland wetland
Phylum	Candidate division OP3	P · Candidate division OP3	S1	1.1745360582569885e-4	0.011745360582569885	IW	Inland wetland
Phylum	Candidate division SR1	P · Candidate division SR1	S1	3.9151201941899616e-5	0.003915120194189961	IW	Inland wetland
Phylum	Chlamydiae	P · Chlamydiae	S1	0	0	IW	Inland wetland
Phylum	Chlorobi	P · Chlorobi	S1	0.011745360582569885	1.1745360582569884	IW	Inland wetland
Phylum	Chloroflexi	P · Chloroflexi	S1	0.12035079476939942	12.035079476939941	IW	Inland wetland
Phylum	Cloacimonetes	P · Cloacimonetes	S1	7.830240388379923e-4	0.07830240388379923	IW	Inland wetland
Phylum	Cyanobacteria	P · Cyanobacteria	S1	0.0019575600970949806	0.19575600970949805	IW	Inland wetland
Phylum	Deferribacteres	P · Deferribacteres	S1	7.830240388379923e-5	0.007830240388379922	IW	Inland wetland
Phylum	Deinococcus-Thermus	P · Deinococcus-Thermus	S1	5.08965625244695e-4	0.0508965625244695	IW	Inland wetland
Phylum	Dictyoglomi	P · Dictyoglomi	S1	0	0	IW	Inland wetland
Phylum	Elusimicrobia	P · Elusimicrobia	S1	9.787800485474903e-4	0.09787800485474903	IW	Inland wetland
Phylum	Euryarchaeota	P · Euryarchaeota	S1	0.003288700963119568	0.3288700963119568	IW	Inland wetland
Phylum	Fibrobacteres	P · Fibrobacteres	S1	1.5660480776759846e-4	0.015660480776759845	IW	Inland wetland
Phylum	Firmicutes	P · Firmicutes	S1	0.023138360347662673	2.3138360347662674	IW	Inland wetland
Phylum	Fusobacteria	P · Fusobacteria	S1	0	0	IW	Inland wetland
Phylum	Gemmatimonadetes	P · Gemmatimonadetes	S1	0.02627045650301464	2.627045650301464	IW	Inland wetland
Phylum	GOUTA4	P · GOUTA4	S1	0	0	IW	Inland wetland
Phylum	Gracilibacteria	P · Gracilibacteria	S1	0	0	IW	Inland wetland
Phylum	Hyd24-12	P · Hyd24-12	S1	0	0	IW	Inland wetland
Phylum	Hydrogenedentes	P · Hydrogenedentes	S1	5.08965625244695e-4	0.0508965625244695	IW	Inland wetland
Phylum	JL-ETNP-Z39	P · JL-ETNP-Z39	S1	1.1745360582569885e-4	0.011745360582569885	IW	Inland wetland
Phylum	Latescibacteria	P · Latescibacteria	S1	0.0032103985592357685	0.32103985592357687	IW	Inland wetland
Phylum	LCP-89	P · LCP-89	S1	0	0	IW	Inland wetland
Phylum	Lentisphaerae	P · Lentisphaerae	S1	0.004737295434969853	0.4737295434969853	IW	Inland wetland
Phylum	Marinimicrobia (SAR406 clade)	P · Marinimicrobia (SAR406 clade)	S1	0	0	IW	Inland wetland
Phylum	Microgenomates	P · Microgenomates	S1	0	0	IW	Inland wetland
Phylum	Miscellaneous Crenarchaeotic Group	P · Miscellaneous Crenarchaeotic Group	S1	0.0047764466369117535	0.47764466369117536	IW	Inland wetland
Phylum	Nitrospirae	P · Nitrospirae	S1	0.01229347740975648	1.229347740975648	IW	Inland wetland
Phylum	Omnitrophica	P · Omnitrophica	S1	4.698144233027954e-4	0.04698144233027954	IW	Inland wetland
Phylum	Parcubacteria	P · Parcubacteria	S1	0.001840106491269282	0.1840106491269282	IW	Inland wetland
Phylum	Planctomycetes	P · Planctomycetes	S1	0.02247278991465038	2.247278991465038	IW	Inland wetland
Phylum	Proteobacteria	P · Proteobacteria	S1	0.19971028110562994	19.971028110562994	IW	Inland wetland
Phylum	Saccharibacteria	P · Saccharibacteria	S1	0.0023099209145720774	0.23099209145720773	IW	Inland wetland
Phylum	SHA-109	P · SHA-109	S1	3.9151201941899616e-5	0.003915120194189961	IW	Inland wetland
Phylum	SM2F11	P · SM2F11	S1	1.5660480776759846e-4	0.015660480776759845	IW	Inland wetland
Phylum	Spirochaetae	P · Spirochaetae	S1	6.264192310703939e-4	0.06264192310703938	IW	Inland wetland
Phylum	Synergistetes	P · Synergistetes	S1	0	0	IW	Inland wetland
Phylum	TA06	P · TA06	S1	1.1745360582569885e-4	0.011745360582569885	IW	Inland wetland
