FeatureID	Phylum	Class	Order	Family	Genus	LineageKey	CompleteDepth	EqualSampleMean
OTU_4272	Firmicutes	Bacilli	Bacillales	Unknown family	Unknown genus	Firmicutes > Bacilli > Bacillales > Unknown family > Unknown genus	3	3.811249934008746e-5
OTU_236	Chloroflexi	Unknown class	Unknown order	Unknown family	Unknown genus	Chloroflexi > Unknown class > Unknown order > Unknown family > Unknown genus	1	2.6650037773057563e-4
OTU_399	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Unknown genus	Proteobacteria > Betaproteobacteria > Nitrosomonadales > Nitrosomonadaceae > Unknown genus	4	2.8598689484911956e-4
OTU_1556	Acidobacteria	Acidobacteria	Subgroup 17	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 17 > Unknown family > Unknown genus	3	3.807320043257894e-4
OTU_32	Miscellaneous Crenarchaeotic Group	Unknown class	Unknown order	Unknown family	Unknown genus	Miscellaneous Crenarchaeotic Group > Unknown class > Unknown order > Unknown family > Unknown genus	1	0.0011985667539466942
OTU_706	Actinobacteria	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	Actinobacteria > Actinobacteria > Frankiales > Nakamurellaceae > Nakamurella	5	3.789820817903067e-5
OTU_2246	Chloroflexi	S085	Unknown order	Unknown family	Unknown genus	Chloroflexi > S085 > Unknown order > Unknown family > Unknown genus	2	1.3005060672266517e-5
OTU_3692	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Rhodobacter	5	3.2791131494680297e-4
OTU_5342	Lentisphaerae	WCHB1-41	Unknown order	Unknown family	Unknown genus	Lentisphaerae > WCHB1-41 > Unknown order > Unknown family > Unknown genus	2	3.564707730997055e-6
OTU_50	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unknown genus	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus	4	0.001751408063419826
OTU_8058	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Actinobacteria > Actinobacteria > Corynebacteriales > Mycobacteriaceae > Mycobacterium	5	4.486538401132682e-5
OTU_7152	Verrucomicrobia	OPB35 soil group	Unknown order	Unknown family	Unknown genus	Verrucomicrobia > OPB35 soil group > Unknown order > Unknown family > Unknown genus	2	3.645843600813126e-5
OTU_999	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa	Proteobacteria > Deltaproteobacteria > Desulfobacterales > Desulfobulbaceae > Desulfocapsa	5	2.164452866602044e-4
OTU_3650	Bacteroidetes	Bacteroidetes BD2-2	Unknown order	Unknown family	Unknown genus	Bacteroidetes > Bacteroidetes BD2-2 > Unknown order > Unknown family > Unknown genus	2	3.0520244823277054e-5
OTU_305	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Syntrophus	Proteobacteria > Deltaproteobacteria > Syntrophobacterales > Syntrophaceae > Syntrophus	5	8.826073252818981e-4
OTU_11016	Acidobacteria	Acidobacteria	Subgroup 18	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 18 > Unknown family > Unknown genus	3	1.0268947426092976e-5
OTU_13742	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unknown genus	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus	4	1.9185592796923688e-4
OTU_4502	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pirellula	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Pirellula	5	5.6457607115016475e-5
OTU_5248	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadaceae > Arenimonas	5	1.4770980811947003e-5
OTU_408	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geoalkalibacter	Proteobacteria > Deltaproteobacteria > Desulfuromonadales > Geobacteraceae > Geoalkalibacter	5	6.308024717115559e-4
OTU_4558	Unknown phylum	Unknown class	Unknown order	Unknown family	Unknown genus	Unknown phylum > Unknown class > Unknown order > Unknown family > Unknown genus	0	2.8093266142334424e-6
OTU_4474	Latescibacteria	Unknown class	Unknown order	Unknown family	Unknown genus	Latescibacteria > Unknown class > Unknown order > Unknown family > Unknown genus	1	3.9426071706830705e-5
OTU_4716	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Unknown genus	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Unknown genus	4	1.9929424167574574e-5
OTU_5004	Chloroflexi	Unknown class	Unknown order	Unknown family	Unknown genus	Chloroflexi > Unknown class > Unknown order > Unknown family > Unknown genus	1	3.377964165628442e-5
OTU_6426	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadales Incertae Sedis	Unknown genus	Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadales Incertae Sedis > Unknown genus	4	9.30892619525654e-4
OTU_3449	Planctomycetes	Pla3 lineage	Unknown order	Unknown family	Unknown genus	Planctomycetes > Pla3 lineage > Unknown order > Unknown family > Unknown genus	2	2.7021119994179917e-5
OTU_10128	Acidobacteria	Holophagae	Subgroup 7	Unknown family	Unknown genus	Acidobacteria > Holophagae > Subgroup 7 > Unknown family > Unknown genus	3	3.0968868690886686e-5
OTU_75	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Unknown genus	Proteobacteria > Betaproteobacteria > Rhodocyclales > Rhodocyclaceae > Unknown genus	4	7.79076814303051e-4
OTU_2069	Proteobacteria	Betaproteobacteria	SC-I-84	Unknown family	Unknown genus	Proteobacteria > Betaproteobacteria > SC-I-84 > Unknown family > Unknown genus	3	2.3566146508429786e-4
OTU_356	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Unknown genus	Proteobacteria > Gammaproteobacteria > Cellvibrionales > Halieaceae > Unknown genus	4	5.04578066674105e-4
OTU_825	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Anaerolinea	5	1.254755934760103e-4
OTU_4105	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Unknown family	Unknown genus	Armatimonadetes > Chthonomonadetes > Chthonomonadales > Unknown family > Unknown genus	3	1.8859274384417266e-5
OTU_2526	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	PHOS-HE51	Unknown genus	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > PHOS-HE51 > Unknown genus	4	1.626299243727153e-5
OTU_482	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Haloferula	Verrucomicrobia > Verrucomicrobiae > Verrucomicrobiales > Verrucomicrobiaceae > Haloferula	5	2.0755421945892508e-4
OTU_13756	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Proteobacteria > Gammaproteobacteria > Methylococcales > Methylococcaceae > Methylomonas	5	2.583435441209653e-6
OTU_7092	Acidobacteria	Holophagae	Holophagae Incertae Sedis	Unknown family	Thermoanaerobaculum	Acidobacteria > Holophagae > Holophagae Incertae Sedis > Unknown family > Thermoanaerobaculum	3	6.251437871059494e-6
OTU_4276	Planctomycetes	Phycisphaerae	MSBL9	Unknown family	Unknown genus	Planctomycetes > Phycisphaerae > MSBL9 > Unknown family > Unknown genus	3	2.0818523397188637e-6
OTU_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 13	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 13	5	0.010140087637493926
OTU_2268	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Unknown genus	Actinobacteria > Coriobacteriia > Coriobacteriales > Coriobacteriaceae > Unknown genus	4	1.2054581952993125e-4
OTU_6141	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Gemmata	5	1.2989260983259383e-5
OTU_3095	Verrucomicrobia	OPB35 soil group	Unknown order	Unknown family	Unknown genus	Verrucomicrobia > OPB35 soil group > Unknown order > Unknown family > Unknown genus	2	3.407860789251131e-5
OTU_296	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	2.7571166458353587e-4
OTU_2883	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	3.5867146683577605e-5
OTU_3998	Acidobacteria	Holophagae	Subgroup 10	ABS-19	Unknown genus	Acidobacteria > Holophagae > Subgroup 10 > ABS-19 > Unknown genus	4	4.9913388939514135e-5
OTU_1515	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unknown genus	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus	4	1.607241897149915e-4
OTU_6339	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Unknown genus	Proteobacteria > Deltaproteobacteria > Desulfobacterales > Nitrospinaceae > Unknown genus	4	2.722140627479001e-6
OTU_13667	Euryarchaeota	Thermoplasmata	Thermoplasmatales	CCA47	Unknown genus	Euryarchaeota > Thermoplasmata > Thermoplasmatales > CCA47 > Unknown genus	4	3.294895714932448e-6
OTU_1952	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	Firmicutes > Clostridia > Clostridiales > Christensenellaceae > Christensenellaceae R-7 group	5	1.4816518962244146e-4
OTU_3897	Chloroflexi	S085	Unknown order	Unknown family	Unknown genus	Chloroflexi > S085 > Unknown order > Unknown family > Unknown genus	2	4.762595395191399e-5
OTU_7112	Unknown phylum	Unknown class	Unknown order	Unknown family	Unknown genus	Unknown phylum > Unknown class > Unknown order > Unknown family > Unknown genus	0	5.806158326222788e-6
OTU_791	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Unknown genus	Gemmatimonadetes > Gemmatimonadetes > Gemmatimonadales > Gemmatimonadaceae > Unknown genus	4	7.438887957337482e-5
OTU_5644	Bacteroidetes	Bacteroidetes BD2-2	Unknown order	Unknown family	Unknown genus	Bacteroidetes > Bacteroidetes BD2-2 > Unknown order > Unknown family > Unknown genus	2	1.6585269576593478e-5
OTU_1628	Acidobacteria	Holophagae	Holophagae Incertae Sedis	Unknown family	Thermoanaerobaculum	Acidobacteria > Holophagae > Holophagae Incertae Sedis > Unknown family > Thermoanaerobaculum	3	9.39701301531709e-5
OTU_4304	Acidobacteria	Acidobacteria	Subgroup 6	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus	3	1.5379848069727766e-4
