LineageRank	LineageKey	Phylum	Class	Order	Family	Genus	FeatureCount	EqualSampleMean	PooledReadFraction
1	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingomonas	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	47	0.012858134623686594	0.012634055085295153
2	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 13	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 13	5	0.012673357645117771	0.01262849839782178
3	Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Thiobacillus	12	0.010813746999199108	0.010999154148684609
4	Firmicutes > Bacilli > Bacillales > Bacillaceae > Bacillus	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	23	0.010772492499551532	0.009814962307136639
5	Actinobacteria > Actinobacteria > Micrococcales > Micrococcaceae > Arthrobacter	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	8	0.00856378592669771	0.009003685936024006
6	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Flavobacterium	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	45	0.008166456152901479	0.008201670710700328
7	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Anaerolinea	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	116	0.007531610481461075	0.007453987540671865
8	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Illumatobacter	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Illumatobacter	14	0.006843106998303157	0.006790889502182543
9	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Gillisia	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gillisia	4	0.00655927691278976	0.006092599109695185
10	Proteobacteria > Epsilonproteobacteria > Campylobacterales > Helicobacteraceae > Sulfurovum	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurovum	12	0.00605919597163607	0.006203115449443405
11	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Sphingobacteriaceae > Pedobacter	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	12	0.0058897203314144855	0.0054220921545746975
12	Proteobacteria > Gammaproteobacteria > Order Incertae Sedis > Family Incertae Sedis > Marinicella	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	Family Incertae Sedis	Marinicella	19	0.00514540504617099	0.004360764847160224
13	Actinobacteria > Thermoleophilia > Gaiellales > Gaiellaceae > Gaiella	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	35	0.004741388421954971	0.00421382133397544
14	Firmicutes > Bacilli > Bacillales > Planococcaceae > Planomicrobium	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium	1	0.004147366594134879	0.005201059475078256
15	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Pirellula	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pirellula	88	0.003738582429978831	0.003595794204992375
16	Proteobacteria > Deltaproteobacteria > Desulfobacterales > Desulfobulbaceae > Desulfobulbus	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus	30	0.0036288184163006942	0.0030981619712657517
17	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Planctomyces	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces	106	0.0035865229252816364	0.003363648150549186
18	Gemmatimonadetes > Gemmatimonadetes > Gemmatimonadales > Gemmatimonadaceae > Gemmatimonas	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	76	0.003506237692568209	0.003584063420326363
19	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Robiginitalea	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Robiginitalea	4	0.003440592066145048	0.003301907178622806
20	Firmicutes > Bacilli > Bacillales > Planococcaceae > Paenisporosarcina	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina	1	0.003382186259426206	0.004939895163829669
21	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Chitinophagaceae > Ferruginibacter	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Ferruginibacter	23	0.0033398097688394097	0.0036130816771317614
22	Proteobacteria > Gammaproteobacteria > Pseudomonadales > Pseudomonadaceae > Pseudomonas	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	15	0.003164317940059486	0.004014397994653232
23	Proteobacteria > Alphaproteobacteria > Rhizobiales > Xanthobacteraceae > Pseudolabrys	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	9	0.0028025437596779553	0.00275673439651287
24	Proteobacteria > Alphaproteobacteria > Rhizobiales > Xanthobacteraceae > Variibacter	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Variibacter	20	0.0027976151643856403	0.0028258842850704155
25	Bacteroidetes > Cytophagia > Cytophagales > Cyclobacteriaceae > Algoriphagus	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	12	0.002693025031223605	0.0029086171874517647
26	Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadaceae > Lysobacter	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	13	0.0026015849823804575	0.002415306821759988
27	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Acidovorax	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	3	0.002564686519159085	0.0027011675217791277
28	Nitrospirae > Nitrospira > Nitrospirales > Nitrospiraceae > Nitrospira	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	29	0.0023620210049802646	0.0024819870714404787
29	Proteobacteria > Deltaproteobacteria > Myxococcales > Haliangiaceae > Haliangium	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	85	0.0023459188685596003	0.002351713620675817
30	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Erythrobacteraceae > Erythrobacter	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	13	0.0022593999043257888	0.002843789166929066
31	Proteobacteria > Deltaproteobacteria > Desulfuromonadales > Geobacteraceae > Geobacter	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	19	0.0021993105115684923	0.002294294516784283
32	Proteobacteria > Betaproteobacteria > Burkholderiales > Oxalobacteraceae > Massilia	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	11	0.002139475581363069	0.0020979582260583947
33	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Erythrobacteraceae > Altererythrobacter	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	22	0.002047896408926481	0.0021208023856711554
34	Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadaceae > Arenimonas	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	18	0.002044946681250065	0.0021874826353516456
35	Acidobacteria > Acidobacteria > Acidobacteriales > Acidobacteriaceae (Subgroup 1) > Candidatus Koribacter	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Candidatus Koribacter	19	0.0020320515690905906	0.001930022782418641
36	Deinococcus-Thermus > Deinococci > Deinococcales > Trueperaceae > Truepera	Deinococcus-Thermus	Deinococci	Deinococcales	Trueperaceae	Truepera	23	0.002011219590026224	0.001960275858662567
37	Firmicutes > Bacilli > Bacillales > Family XII > Exiguobacterium	Firmicutes	Bacilli	Bacillales	Family XII	Exiguobacterium	2	0.002003797683653595	0.002397401939901338
38	Actinobacteria > Actinobacteria > Micrococcales > Microbacteriaceae > Cryobacterium	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Cryobacterium	1	0.001994606409876405	0.002066470330375941
39	Proteobacteria > Gammaproteobacteria > Oceanospirillales > Halomonadaceae > Halomonas	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	9	0.0019446545588190345	0.0018096278871621997
40	Firmicutes > Bacilli > Bacillales > Bacillaceae > Lentibacillus	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lentibacillus	2	0.0019235153690924372	0.001675649978081955
41	Firmicutes > Clostridia > Clostridiales > Family XII > Fusibacter	Firmicutes	Clostridia	Clostridiales	Family XII	Fusibacter	9	0.0019211752475047255	0.0020127556847999903
42	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Chitinophagaceae > Terrimonas	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Terrimonas	15	0.001900506603804212	0.0020115208653614623
43	Proteobacteria > Deltaproteobacteria > Desulfuromonadales > Desulfuromonadaceae > Desulfuromonas	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	13	0.001891911013782706	0.0018837170534738558
44	Proteobacteria > Deltaproteobacteria > Desulfobacterales > Desulfobacteraceae > Sva0081 sediment group	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081 sediment group	12	0.001844020478975937	0.001570072916087845
45	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > CL500-29 marine group	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	22	0.0018017704965357026	0.0019337272407342237
46	Proteobacteria > Alphaproteobacteria > Rhizobiales > Bradyrhizobiaceae > Bradyrhizobium	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	3	0.0017333446629597873	0.0017830792692338563
