GroupCode	Group	Rank	RankIndex	Samples	KnownMean	KnownMinimum	KnownMaximum	UnknownMean
ALL	All samples	Phylum	1	90	0.9965362176077609	0.9746454466687947	0.9993506876807745	0.0034637823922391143
IW	Inland wetland	Phylum	1	30	0.9965458273761105	0.9918053319019503	0.9982680722891566	0.0034541726238894364
CW	Coastal wetland	Phylum	1	30	0.9967710088354254	0.9746454466687947	0.9990183038824498	0.0032289911645746647
TW	Tibetan wetland	Phylum	1	30	0.9962918166117467	0.9842198445077361	0.9993506876807745	0.003708183388253243
ALL	All samples	Class	2	90	0.9679785442715324	0.9173090821488797	0.9924631072265502	0.03202145572846765
IW	Inland wetland	Class	2	30	0.9707987891197484	0.9480922566490073	0.9865735767991407	0.02920121088025167
CW	Coastal wetland	Class	2	30	0.9683846547184116	0.9344247343700123	0.9924631072265502	0.03161534528158835
TW	Tibetan wetland	Class	2	30	0.9647521889764371	0.9173090821488797	0.9871285937687959	0.035247811023562926
ALL	All samples	Order	3	90	0.8557272804699458	0.6178718585852232	0.973715878143011	0.14427271953005416
IW	Inland wetland	Order	3	30	0.8108820130897548	0.6178718585852232	0.9329789119262804	0.18911798691024514
CW	Coastal wetland	Order	3	30	0.8943884717747902	0.7812029732317936	0.973715878143011	0.1056115282252098
TW	Tibetan wetland	Order	3	30	0.8619113565452925	0.7546976632136835	0.9347407674726332	0.13808864345470756
ALL	All samples	Family	4	90	0.6796275393420754	0.3875695907904255	0.9294762176198619	0.3203724606579246
IW	Inland wetland	Family	4	30	0.5723544211670454	0.3875695907904255	0.7244373560163033	0.42764557883295456
CW	Coastal wetland	Family	4	30	0.7354404714475308	0.5655946505333546	0.9294762176198619	0.2645595285524693
TW	Tibetan wetland	Family	4	30	0.7310877254116501	0.5994338713562997	0.8370022855768074	0.2689122745883499
ALL	All samples	Genus	5	90	0.3689438869300811	0.15564296034676517	0.7847552093229464	0.6310561130699189
IW	Inland wetland	Genus	5	30	0.28991305682708046	0.15564296034676517	0.46894171779141103	0.7100869431729195
CW	Coastal wetland	Genus	5	30	0.3838467844565524	0.23676410233024758	0.7847552093229464	0.6161532155434476
TW	Tibetan wetland	Genus	5	30	0.43307181950661044	0.28770175861238256	0.670777940656119	0.5669281804933896
