LineageRank	LineageKey	Phylum	Class	Order	Family	Genus	GroupCode	Group	MeanRelativeAbundance	MeanPercent	Prevalence	OverallMean
1	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingomonas	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	IW	Inland wetland	0.010904978295373959	1.090497829537396	1	0.012858134623686594
1	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingomonas	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	CW	Coastal wetland	0.004613225065928601	0.4613225065928601	1	0.012858134623686594
1	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingomonas	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	TW	Tibetan wetland	0.023056200509757225	2.3056200509757225	1	0.012858134623686594
2	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 13	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 13	IW	Inland wetland	0.004625918070895867	0.4625918070895867	1	0.012673357645117771
2	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 13	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 13	CW	Coastal wetland	0.03209814324392249	3.209814324392249	1	0.012673357645117771
2	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 13	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 13	TW	Tibetan wetland	0.0012960116205349562	0.12960116205349562	0.9666666666666667	0.012673357645117771
3	Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Thiobacillus	IW	Inland wetland	0.0027807535415940846	0.2780753541594085	1	0.010813746999199108
3	Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Thiobacillus	CW	Coastal wetland	0.006265195494185234	0.6265195494185234	1	0.010813746999199108
3	Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Thiobacillus	TW	Tibetan wetland	0.023395291961818006	2.3395291961818008	1	0.010813746999199108
4	Firmicutes > Bacilli > Bacillales > Bacillaceae > Bacillus	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	IW	Inland wetland	0.004994115229596027	0.49941152295960267	1	0.010772492499551532
