SampleID	FeatureClosure	PhylumClosure	ClassClosure	OrderClosure	FamilyClosure	GenusClosure	MaximumAbsoluteError
S1	1	1	1	1	1	1	0
S2	1	1	1	1	1	1	0
S3	1	1	1	1	1	1	0
S4	1	1	1	1	1	1	0
S5	1	1	1	1	1	1	0
S6	1	1	1	1	1	1	0
S7	1	1	1	1	1	1	0
S9	1	1	1	1	1	1	0
S10	1	1	1	1	1	1	0
S11	1	1	1	1	0.9999999999999999	1	1.1102230246251565e-16
S12	1	1	1	1	1	1	0
S13	1	1	1	1	1	0.9999999999999999	1.1102230246251565e-16
S15	1	1	1	1	1	1	0
S16	1	1	1	1	1	1	0
S17	1	1	1	1	1	1	0
S18	1	1	1	1	1	1	0
S19	1	1	1	1	1	1	0
S20	1	1	1	1	1	1	0
S22	1	1	1	1	1	1	0
S23	1	1	1	1	1	1	0
S24	1	1	1	1	1	1	0
S25	1	1	1	1	1	1	0
S26	1	1	1	1	1	1	0
S27	1	1	1	1	1	1	0
S28	1	1	1	1	1	1	0
S30	1	1	1	1	1	1	0
S34	1	1	1	1	1	1	0
S35	1	1	1	1	1	1	0
S36	1	1	1	1	1	1	0
S37	1	1	1	1	1	1	0
S61	1	1	1	1	1	1	0
S62	1	1	1	1	1	1	0
S63	1	1	1	1	1	1	0
S65	1	1	1	1	1	1	0
S85	1	1	1	1	1	1	0
S86	1	1	1	1	1	1	0
S87	1	1	1	1	1	1	0
S88	1	1	1	1	1	1	0
S89	1	1	1	1	1	1	0
S112	1	1	1	1	1	1	0
S113	1	1	1	1	1	1	0
S114	1	1	1	1	1	1	0
S161	1	1	1	1	1	1	0
S162	1	1	1	1	1	1	0
S164	1	1	1	1	1	1	0
S165	1	1	1	1	1	1	0
S166	1	1	1	1	1	1	0
S167	1	1	1	1	1	1	0
S168	1	1	1	1	1	1	0
S169	1	1	1	1	1	1	0
S170	1	1	1	1	1	1	0
S171	1	1	1	1	1	1	0
S172	1	1	1	1	1	1	0
S173	1	1	1	1	1	1	0
S174	1	1	1	1	1	1	0
S175	1	1	1	1	1	1	0
S176	1	1	1	1	1	1	0
S177	1	1	1	1	1	1	0
S179	1	1	1	1	1	1	0
S182	1	1	1	1	1	1	0
S187	1	1	1	1	1	1	0
S188	1	1	1	1	1	1	0
S191	1	1	1	1	1	1	0
S194	1	1	1	1	1	1	0
S196	1	1	1	1	1	1	0
S197	1	1	1	1	1	1	0
S198	1	1	1	1	1	1	0
S201	1	1	1	1	1	1	0
S202	1	1	1	1	1	1	0
S203	1	1	1	1	1	1	0
S204	1	1	1	1	1	1	0
S205	1	1	1	1	1	1	0
S206	1	1	1	1	1	1	0
S207	1	1	1	1	1	1	0
S208	1	1	1	1	1	1	0
S209	1	1	1	1	1	1	0
S210	1	1	1	1	1	1	0
S213	1	1	1	1	1	1	0
S214	1	1	1	1	1	1	0
S215	1	1	1	1	1	1	0
S216	1	1	1	1	1	1	0
S217	1	1	1	1	1	1	0
S218	1	1	1	1	1	1	0
S219	1	1	1	1	1	1	0
S220	1	1	1	1	1	1	0
S221	1	1	1	1	1	1	0
S222	1	1	1	1	1	1	0
S223	1	1	1	1	1	1	0
S224	1	1	1	1	1	1	0
S225	1	1	1	1	1	1	0
