FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	DisplayName
HT_001	Bacteria	Actinobacteria			Actinobacteria	Actinomycetaceae		Actinomycetaceae
HT_002	Bacteria	Firmicutes			Bacilli	Aerococcus		Aerococcus
HT_003	Bacteria	Proteobacteria			Proteobacteria	Aeromonas		Aeromonas
HT_004	Bacteria	Verrucomicrobia			Verrucomicrobia	Akkermansia		Akkermansia
HT_005	Bacteria	Proteobacteria			Proteobacteria	Alcaligenes faecalis et rel.		Alcaligenes faecalis et rel.
HT_006	Bacteria	Bacteroidetes			Bacteroidetes	Allistipes et rel.		Allistipes et rel.
HT_007	Bacteria	Proteobacteria			Proteobacteria	Anaerobiospirillum		Anaerobiospirillum
HT_008	Bacteria	Firmicutes			Clostridium cluster XV	Anaerofustis		Anaerofustis
HT_009	Bacteria	Firmicutes			Clostridium cluster XIVa	Anaerostipes caccae et rel.		Anaerostipes caccae et rel.
HT_010	Bacteria	Firmicutes			Clostridium cluster IV	Anaerotruncus colihominis et rel.		Anaerotruncus colihominis et rel.
HT_011	Bacteria	Firmicutes			Clostridium cluster XI	Anaerovorax odorimutans et rel.		Anaerovorax odorimutans et rel.
HT_012	Bacteria	Firmicutes			Bacilli	Aneurinibacillus		Aneurinibacillus
HT_013	Bacteria	Proteobacteria			Proteobacteria	Aquabacterium		Aquabacterium
HT_014	Bacteria	Firmicutes			Asteroleplasma	Asteroleplasma et rel.		Asteroleplasma et rel.
HT_015	Bacteria	Actinobacteria			Actinobacteria	Atopobium		Atopobium
HT_016	Bacteria	Firmicutes			Bacilli	Bacillus		Bacillus
HT_017	Bacteria	Bacteroidetes			Bacteroidetes	Bacteroides fragilis et rel.		Bacteroides fragilis et rel.
HT_018	Bacteria	Bacteroidetes			Bacteroidetes	Bacteroides intestinalis et rel.		Bacteroides intestinalis et rel.
HT_019	Bacteria	Bacteroidetes			Bacteroidetes	Bacteroides ovatus et rel.		Bacteroides ovatus et rel.
HT_020	Bacteria	Bacteroidetes			Bacteroidetes	Bacteroides plebeius et rel.		Bacteroides plebeius et rel.
HT_021	Bacteria	Bacteroidetes			Bacteroidetes	Bacteroides splachnicus et rel.		Bacteroides splachnicus et rel.
HT_022	Bacteria	Bacteroidetes			Bacteroidetes	Bacteroides stercoris et rel.		Bacteroides stercoris et rel.
HT_023	Bacteria	Bacteroidetes			Bacteroidetes	Bacteroides uniformis et rel.		Bacteroides uniformis et rel.
HT_024	Bacteria	Bacteroidetes			Bacteroidetes	Bacteroides vulgatus et rel.		Bacteroides vulgatus et rel.
HT_025	Bacteria	Actinobacteria			Actinobacteria	Bifidobacterium		Bifidobacterium
HT_026	Bacteria	Proteobacteria			Proteobacteria	Bilophila et rel.		Bilophila et rel.
HT_027	Bacteria	Spirochaetes			Spirochaetes	Brachyspira		Brachyspira
HT_028	Bacteria	Firmicutes			Clostridium cluster XIVa	Bryantella formatexigens et rel.		Bryantella formatexigens et rel.
HT_029	Bacteria	Firmicutes			Clostridium cluster XVI	Bulleidia moorei et rel.		Bulleidia moorei et rel.
HT_030	Bacteria	Proteobacteria			Proteobacteria	Burkholderia		Burkholderia
HT_031	Bacteria	Firmicutes			Clostridium cluster XIVa	Butyrivibrio crossotus et rel.		Butyrivibrio crossotus et rel.
HT_032	Bacteria	Proteobacteria			Proteobacteria	Campylobacter		Campylobacter
HT_033	Bacteria	Firmicutes			Clostridium cluster XVII	Catenibacterium mitsuokai et rel.		Catenibacterium mitsuokai et rel.
HT_034	Bacteria	Firmicutes			Clostridium cluster I	Clostridium (sensu stricto)		Clostridium (sensu stricto)
HT_035	Bacteria	Firmicutes			Clostridium cluster IV	Clostridium cellulosi et rel.		Clostridium cellulosi et rel.
HT_036	Bacteria	Firmicutes			Clostridium cluster XIVa	Clostridium colinum et rel.		Clostridium colinum et rel.
HT_037	Bacteria	Firmicutes			Clostridium cluster XI	Clostridium difficile et rel.		Clostridium difficile et rel.
HT_038	Bacteria	Firmicutes			Clostridium cluster XI	Clostridium felsineum et rel.		Clostridium felsineum et rel.
HT_039	Bacteria	Firmicutes			Clostridium cluster IV	Clostridium leptum et rel.		Clostridium leptum et rel.
HT_040	Bacteria	Firmicutes			Clostridium cluster XIVa	Clostridium nexile et rel.		Clostridium nexile et rel.
HT_041	Bacteria	Firmicutes			Clostridium cluster IV	Clostridium orbiscindens et rel.		Clostridium orbiscindens et rel.
HT_042	Bacteria	Firmicutes			Clostridium cluster XVIII	Clostridium ramosum et rel.		Clostridium ramosum et rel.
HT_043	Bacteria	Firmicutes			Clostridium cluster XIVa	Clostridium sphenoides et rel.		Clostridium sphenoides et rel.
HT_044	Bacteria	Firmicutes			Clostridium cluster III	Clostridium stercorarium et rel.		Clostridium stercorarium et rel.
HT_045	Bacteria	Firmicutes			Clostridium cluster XIVa	Clostridium symbiosum et rel.		Clostridium symbiosum et rel.
HT_046	Bacteria	Firmicutes			Clostridium cluster III	Clostridium thermocellum et rel.		Clostridium thermocellum et rel.
HT_047	Bacteria	Actinobacteria			Actinobacteria	Collinsella		Collinsella
HT_048	Bacteria	Firmicutes			Clostridium cluster XVIII	Coprobacillus catenaformis et rel.		Coprobacillus catenaformis et rel.
HT_049	Bacteria	Firmicutes			Clostridium cluster XIVa	Coprococcus eutactus et rel.		Coprococcus eutactus et rel.
HT_050	Bacteria	Actinobacteria			Actinobacteria	Corynebacterium		Corynebacterium
HT_051	Bacteria	Proteobacteria			Proteobacteria	Desulfovibrio et rel.		Desulfovibrio et rel.
HT_052	Bacteria	Firmicutes			Clostridium cluster IX	Dialister		Dialister
HT_053	Bacteria	Firmicutes			Clostridium cluster XIVa	Dorea formicigenerans et rel.		Dorea formicigenerans et rel.
HT_054	Bacteria	Actinobacteria			Actinobacteria	Eggerthella lenta et rel.		Eggerthella lenta et rel.
HT_055	Bacteria	Proteobacteria			Proteobacteria	Enterobacter aerogenes et rel.		Enterobacter aerogenes et rel.
HT_056	Bacteria	Firmicutes			Bacilli	Enterococcus		Enterococcus
HT_057	Bacteria	Proteobacteria			Proteobacteria	Escherichia coli et rel.		Escherichia coli et rel.
HT_058	Bacteria	Firmicutes			Clostridium cluster XVI	Eubacterium biforme et rel.		Eubacterium biforme et rel.
HT_059	Bacteria	Firmicutes			Clostridium cluster XVI	Eubacterium cylindroides et rel.		Eubacterium cylindroides et rel.
HT_060	Bacteria	Firmicutes			Clostridium cluster XIVa	Eubacterium hallii et rel.		Eubacterium hallii et rel.
HT_061	Bacteria	Firmicutes			Clostridium cluster XV	Eubacterium limosum et rel.		Eubacterium limosum et rel.
HT_062	Bacteria	Firmicutes			Clostridium cluster XIVa	Eubacterium rectale et rel.		Eubacterium rectale et rel.
HT_063	Bacteria	Firmicutes			Clostridium cluster IV	Eubacterium siraeum et rel.		Eubacterium siraeum et rel.
HT_064	Bacteria	Firmicutes			Clostridium cluster XIVa	Eubacterium ventriosum et rel.		Eubacterium ventriosum et rel.
HT_065	Bacteria	Firmicutes			Clostridium cluster IV	Faecalibacterium prausnitzii et rel.		Faecalibacterium prausnitzii et rel.
HT_066	Bacteria	Fusobacteria			Fusobacteria	Fusobacteria		Fusobacteria
HT_067	Bacteria	Firmicutes			Bacilli	Gemella		Gemella
HT_068	Bacteria	Firmicutes			Bacilli	Granulicatella		Granulicatella
HT_069	Bacteria	Proteobacteria			Proteobacteria	Haemophilus		Haemophilus
HT_070	Bacteria	Proteobacteria			Proteobacteria	Helicobacter		Helicobacter
