LibraryID	BiologicalSampleID	Block	MainPlot	Treatment	LibraryReads	TechnicalLibraryIndex	TechnicalLibraryCount	InferenceUnit
a_C026	6CC	Block 6	Block 6 / Ambient	Ambient + Clipped	1203	1	2	BiologicalSampleID after count aggregation
a_C066	3UC	Block 3	Block 3 / Ambient	Ambient + Unclipped	1761	1	2	BiologicalSampleID after count aggregation
a_C070	5UW	Block 5	Block 5 / Warmed	Warmed + Unclipped	2172	1	2	BiologicalSampleID after count aggregation
a_C074	2UC	Block 2	Block 2 / Ambient	Ambient + Unclipped	4352	1	3	BiologicalSampleID after count aggregation
a_C075	5CW	Block 5	Block 5 / Warmed	Warmed + Clipped	1816	1	3	BiologicalSampleID after count aggregation
a_C077	4UW	Block 4	Block 4 / Warmed	Warmed + Unclipped	2194	1	3	BiologicalSampleID after count aggregation
a_C079	6UC	Block 6	Block 6 / Ambient	Ambient + Unclipped	1553	1	3	BiologicalSampleID after count aggregation
a_C081	3CC	Block 3	Block 3 / Ambient	Ambient + Clipped	2553	1	3	BiologicalSampleID after count aggregation
a_C082	1CC	Block 1	Block 1 / Ambient	Ambient + Clipped	2254	1	3	BiologicalSampleID after count aggregation
a_C083	6UC	Block 6	Block 6 / Ambient	Ambient + Unclipped	2318	2	3	BiologicalSampleID after count aggregation
a_C084	4CW	Block 4	Block 4 / Warmed	Warmed + Clipped	1639	1	2	BiologicalSampleID after count aggregation
a_C085	1CC	Block 1	Block 1 / Ambient	Ambient + Clipped	2012	2	3	BiologicalSampleID after count aggregation
a_C086	3CC	Block 3	Block 3 / Ambient	Ambient + Clipped	1986	2	3	BiologicalSampleID after count aggregation
a_C088	5CW	Block 5	Block 5 / Warmed	Warmed + Clipped	2379	2	3	BiologicalSampleID after count aggregation
a_C089	1CW	Block 1	Block 1 / Warmed	Warmed + Clipped	2915	1	3	BiologicalSampleID after count aggregation
a_C090	3CW	Block 3	Block 3 / Warmed	Warmed + Clipped	2090	1	3	BiologicalSampleID after count aggregation
a_C091	2UC	Block 2	Block 2 / Ambient	Ambient + Unclipped	1240	2	3	BiologicalSampleID after count aggregation
a_C093	2UC	Block 2	Block 2 / Ambient	Ambient + Unclipped	4271	3	3	BiologicalSampleID after count aggregation
a_C095	6UW	Block 6	Block 6 / Warmed	Warmed + Unclipped	3788	1	3	BiologicalSampleID after count aggregation
a_C096	1CW	Block 1	Block 1 / Warmed	Warmed + Clipped	1768	2	3	BiologicalSampleID after count aggregation
a_C098	5UW	Block 5	Block 5 / Warmed	Warmed + Unclipped	1705	2	2	BiologicalSampleID after count aggregation
a_C099	4UC	Block 4	Block 4 / Ambient	Ambient + Unclipped	1743	1	2	BiologicalSampleID after count aggregation
a_C100	2UW	Block 2	Block 2 / Warmed	Warmed + Unclipped	1720	1	3	BiologicalSampleID after count aggregation
a_C101	3UW	Block 3	Block 3 / Warmed	Warmed + Unclipped	1991	1	2	BiologicalSampleID after count aggregation
a_C102	3CW	Block 3	Block 3 / Warmed	Warmed + Clipped	1748	2	3	BiologicalSampleID after count aggregation
a_C116	3CC	Block 3	Block 3 / Ambient	Ambient + Clipped	3761	3	3	BiologicalSampleID after count aggregation
a_C125	4CC	Block 4	Block 4 / Ambient	Ambient + Clipped	1306	1	2	BiologicalSampleID after count aggregation
a_C126	2UW	Block 2	Block 2 / Warmed	Warmed + Unclipped	918	2	3	BiologicalSampleID after count aggregation
a_C127	6UW	Block 6	Block 6 / Warmed	Warmed + Unclipped	1074	2	3	BiologicalSampleID after count aggregation
a_C128	4UW	Block 4	Block 4 / Warmed	Warmed + Unclipped	1655	2	3	BiologicalSampleID after count aggregation
a_C130	4CW	Block 4	Block 4 / Warmed	Warmed + Clipped	1178	2	2	BiologicalSampleID after count aggregation
a_C131	6UC	Block 6	Block 6 / Ambient	Ambient + Unclipped	1317	3	3	BiologicalSampleID after count aggregation
a_C132	5CW	Block 5	Block 5 / Warmed	Warmed + Clipped	1551	3	3	BiologicalSampleID after count aggregation
a_C134	6CC	Block 6	Block 6 / Ambient	Ambient + Clipped	1410	2	2	BiologicalSampleID after count aggregation
a_C136	1CW	Block 1	Block 1 / Warmed	Warmed + Clipped	1046	3	3	BiologicalSampleID after count aggregation
a_C137	6CW	Block 6	Block 6 / Warmed	Warmed + Clipped	956	1	2	BiologicalSampleID after count aggregation
a_C139	2CC	Block 2	Block 2 / Ambient	Ambient + Clipped	1011	1	2	BiologicalSampleID after count aggregation
a_C140	3UC	Block 3	Block 3 / Ambient	Ambient + Unclipped	1393	2	2	BiologicalSampleID after count aggregation
a_C141	1UC	Block 1	Block 1 / Ambient	Ambient + Unclipped	950	1	2	BiologicalSampleID after count aggregation
a_C143	3UW	Block 3	Block 3 / Warmed	Warmed + Unclipped	1351	2	2	BiologicalSampleID after count aggregation
a_C144	4UW	Block 4	Block 4 / Warmed	Warmed + Unclipped	1306	3	3	BiologicalSampleID after count aggregation
a_C145	6CW	Block 6	Block 6 / Warmed	Warmed + Clipped	889	2	2	BiologicalSampleID after count aggregation
a_C146	5UC	Block 5	Block 5 / Ambient	Ambient + Unclipped	1223	1	2	BiologicalSampleID after count aggregation
a_C147	2UW	Block 2	Block 2 / Warmed	Warmed + Unclipped	1163	3	3	BiologicalSampleID after count aggregation
a_C149	1UC	Block 1	Block 1 / Ambient	Ambient + Unclipped	1320	2	2	BiologicalSampleID after count aggregation
a_C150	4CC	Block 4	Block 4 / Ambient	Ambient + Clipped	1272	2	2	BiologicalSampleID after count aggregation
a_C151	3CW	Block 3	Block 3 / Warmed	Warmed + Clipped	1442	3	3	BiologicalSampleID after count aggregation
a_C153	1UW	Block 1	Block 1 / Warmed	Warmed + Unclipped	2314	1	1	BiologicalSampleID after count aggregation
a_C154	2CC	Block 2	Block 2 / Ambient	Ambient + Clipped	1181	2	2	BiologicalSampleID after count aggregation
a_C156	1CC	Block 1	Block 1 / Ambient	Ambient + Clipped	1077	3	3	BiologicalSampleID after count aggregation
a_C157	5CC	Block 5	Block 5 / Ambient	Ambient + Clipped	1605	1	2	BiologicalSampleID after count aggregation
a_C158	6UW	Block 6	Block 6 / Warmed	Warmed + Unclipped	1276	3	3	BiologicalSampleID after count aggregation
a_C159	4UC	Block 4	Block 4 / Ambient	Ambient + Unclipped	1318	2	2	BiologicalSampleID after count aggregation
a_C160	2CW	Block 2	Block 2 / Warmed	Warmed + Clipped	1564	1	1	BiologicalSampleID after count aggregation
a_C161	5CC	Block 5	Block 5 / Ambient	Ambient + Clipped	1276	2	2	BiologicalSampleID after count aggregation
a_C162	5UC	Block 5	Block 5 / Ambient	Ambient + Unclipped	1748	2	2	BiologicalSampleID after count aggregation
