SampleID	Latitude	Longitude	Altitude	Temperature	Precipitation	TOC	NH4	NO3	pH	Conductivity	TN
S1	52.9648166666667	122.563483333333	432	-4.2	445	10.02	18.959657	1.93	5.1	108.7	0.28
S2	52.9487666666667	122.610866666667	445	-4.3	449	6.94	21.057305	1.46	6.53	31.2	0.22
S3	52.9493166666667	122.609916666667	430	-4.3	449	8.38	14.3193725	2.38	5.13	68.2	0.26
S4	52.949	122.6104	430	-4.3	449	8.17	20.8964525	1.38	5.81	64.4	0.25
S5	52.9529166666667	122.6057	429	-4.3	449	8.41	9.65465	0.77	5.5	33.5	0.24
S6	52.953	122.612283333333	429	-4.3	449	8.13	15.94577	1.31	5.37	33.3	0.26
S7	52.9528833333333	122.606216666667	432	-4.3	449	12.81	29.81833	1.84	5.31	22.9	0.41
S9	52.9870833333333	122.44045	436	-4.2	444	16.94	34.858375	4.45	5.9	82.6	0.51
S10	52.9780666666667	122.476016666667	436	-4.2	445	65.37	15.30586	7.68	5.16	61	1.76
S11	52.978	122.4762	433	-4.2	445	62.84	16.056505	7.06	5	32.4	1.65
S12	52.9779833333333	122.476533333333	435	-4.2	445	67.53	2.53070875	2.07	5.26	46.1	1.81
S13	52.978	122.477	432	-4.2	445	52.68	9.765385	5.84	5	56.5	1.65
S15	49.3179666666667	117.667316666667	536	-0.7	301	0.27	8.9576225	0	9.8	117	0.04
S16	49.3173	117.670366666667	537	-0.7	301	0.7	7.72442	0.31	9.58	139.5	0.02
S17	49.31705	117.6709	535	-0.7	301	0.69	8.904005	0	9.9	241	0.09
S18	49.3204833333333	117.674066666667	541	-0.7	301	0.64	7.1703725	0	9.1	93.3	0.05
S19	49.3205166666667	117.673833333333	543	-0.7	301	0.4	6.8486675	1.08	8.76	76.2	0.04
S20	49.3205833333333	117.673266666667	544	-0.7	301	1.96	18.8589875	0.46	8.68	152.2	0.09
S22	48.2686833333333	134.66925	38	2	668	4.89	19.59176	1.31	6.81	13.1	0.23
S23	48.2577666666667	134.655883333333	40	1.9	668	3.85	28.5458825	0.38	6.36	23.4	0.17
S24	48.25795	134.655983333333	45	1.9	668	7.8	18.698135	1.08	5.78	27.8	0.37
S25	48.25705	134.638216666667	37	1.9	668	0.97	5.3	0.54	6.5	17	0.06
S26	47.2004666666667	124.2395	143	3.6	428	2.06	5.7405725	0.38	8.76	102.2	0.07
S27	47.1976333333333	124.239583333333	146	3.6	428	2.17	5.57972	1.46	8.66	86.6	0.07
S28	47.1984666666667	124.237483333333	140	3.6	428	0.75	3.8103425	3.46	10.54	447	0.04
S30	47.1928	124.22355	143	3.6	428	5.35	8.546555	1.38	9.12	147.9	0.16
S34	46.8304166666667	130.306233333333	84	3.2	550	1.89	11.7814775	3.69	7.9	47.9	0.07
S35	46.8309166666667	130.306583333333	80	3.2	550	3.73	18.5909	3.84	7.78	53.8	0.17
S36	46.5334833333333	125.185633333333	141	3.5	437	0.89	7.6350575	1.08	10.62	1797	0.07
S37	46.5305	125.191266666667	151	3.5	437	1.22	4.43588	3.3	8.93	291	0.1
S38	46.5311833333333	125.190216666667	155	3.5	437	1.11	6.3124925	5.45	10.23	450	0.06
S39	46.5323333333333	125.188066666667	157	3.5	437	3.82	13.622345	2.61	8.42	162.9	0.15
S40	46.5328666666667	125.187083333333	146	3.5	437	2.65	11.191685	0.69	9.84	396	0.12
S41	45.7862666666667	126.5488	116	3.6	553	3.31	8.66909	3.63	8.41	84.7	0.1
S42	45.7846666666667	126.549	130	3.6	553	2.46	13.95837	3.39	8.1	46.6	0.08
S43	45.78435	126.54945	116	3.6	553	1.53	4.305434	3.71	8.07	33.2	0.06
S44	45.7841333333333	126.551466666667	114	3.6	553	2.35	22.437747	3.23	7.97	69	0.08
S45	45.7837666666667	126.55155	121	3.6	553	1.68	16.156727	3.14	7.87	61.8	0.07
S46	45.3639	132.316683333333	70	4.3	569	7.53	31.446052	3.47	7.66	69.4	0.21
S47	45.34945	132.307	68	4.3	569	5.78	30.520428	4.19	7.39	34.8	0.21
S49	45.3502166666667	132.307	69	4.3	569	3.96	30.65266	3.71	6.73	53	0.14
S52	45.0653666666667	122.313083333333	163	5.6	405	1.4	19.165005	1.45	8.87	101.6	0.05
S53	45.0736666666667	122.30335	175	5.6	405	0.8	9.379837	1.94	8.54	58.9	0.02
S55	45.0638333333333	122.3162	162	5.6	405	1.27	23.264197	0.97	8.7	95.5	0.06
S56	43.6207666666667	116.70685	1176	1.4	341	10.23	42.322134	4.11	8.51	42	0.34
S57	43.6210833333333	116.708266666667	1175	1.4	341	12.64	43.793215	3.71	5.65	58.5	0.46
S58	43.6197666666667	116.709766666667	1184	1.4	341	3.8	46.18992	2.42	6.34	117.5	0.17
S59	43.6197	116.712216666667	1180	1.4	341	11.17	18.569961	5.89	6.39	66.4	0.39
S66	40.8635833333333	108.845916666667	1021	7	237	1.09	19.198063	0	9.39	898	0.03
S68	40.8649	108.848533333333	1023	7	237	2.21	16.834416	0	9.46	1780	0.08
S69	40.86635	108.850216666667	1025	77	237	0.67	6.239327	1.13	9.61	1002	0.02
S71	38.9682833333333	115.95285	3	12.8	507	3.97	19.90881	3.06	8.68	124.1	0.18
S73	38.9685	115.953	3	12.8	507	3.65	9.346779	3.23	8.11	110.1	0.17
S74	38.9685	115.952916666667	6	12.8	507	4.01	9.131902	3.31	7.81	144.3	0.2
S75	38.96835	115.952816666667	5	12.8	507	4.94	17.280699	2.9	7.84	160.5	0.24
S76	38.9622666666667	115.949633333333	6	12.8	507	0.62	4.321963	2.98	8.29	156.3	0.05
S77	38.9626333333333	115.947883333333	3	12.8	507	1.82	7.859169	2.98	8.51	159.1	0.06
S78	38.9627	115.947416666667	4	12.8	507	1.66	7.809582	3.14	8.68	112.7	0.08
S79	38.9627333333333	115.947383333333	5	12.8	507	1.03	5.412877	2.9	8.55	292	0.04
S80	38.56335	106.187933333333	1104	9	192	4.48	10.619512	0	8.44	995	0.11
S81	38.56215	106.188133333333	1101	9	192	2.57	14.669117	0	8.16	713	0.09
S82	38.5619833333333	106.188766666667	1103	9	192	2.62	9.032728	1.05	8.49	379	0.09
S83	38.5599	106.187716666667	1103	9	192	4.51	15.693915	1.37	8.19	657	0.17
S84	38.5595666666667	106.1877	1101	9	192	2.26	9.561656	0.32	8.24	531	0.08
S90	36.0906166666667	103.715233333333	1523	9.5	336	1.06	30.851008	1.69	9.1	70.9	0.04
S92	36.0884166666667	103.728816666667	1522	9.7	338	0.72	4.222789	1.77	8.74	81.4	0.03
S93	36.0876666666667	103.71155	1521	9.8	339	0.46	4.586427	4.03	8.86	64.2	0.02
S94	36.0868	103.711416666667	1519	9.9	340	0.53	5.330232	3.79	8.91	66.8	0.02
S95	34.4312166666667	109.006516666667	363	15.5	513	0.85	4.669072	1.61	8.22	202	0.04
S96	34.4331166666667	109.009233333333	359	15.5	513	1.79	18.404671	1.13	8.07	179.4	0.08
S97	34.4337833333333	109.009333333333	367	15.5	513	0.77	29.16505	3.55	8.55	112.4	0.04
S99	34.4333666666667	109.009883333333	359	15.5	513	1.64	7.065777	4.68	8.57	116.2	0.08
S101	33.232	118.329233333333	23	15.2	808	2.08	18.652606	1.61	8.08	170.5	0.09
S102	33.23445	118.329333333333	19	15.2	808	2.36	24.156763	1.37	8.22	188.9	0.1
S103	33.2362166666667	118.424416666667	40	15.1	815	1.4	6.801313	2.66	8.53	124.6	0.06
S104	33.2366	118.423766666667	21	15.1	815	1.97	12.156709	0.56	8.46	155.4	0.08
S105	33.2366333333333	118.4235	13	15.1	815	2.22	8.917025	3.39	8.32	142.9	0.09
S106	33.2379666666667	118.42285	22	15.1	815	1.64	8.107104	2.42	8.49	159.7	0.06
S108	31.70845	117.32905	10	16.1	955	1.36	13.065804	3.31	6.93	43	0.06
S109	31.7082666666667	117.328983333333	5	16.1	955	3.16	55.28087	4.92	5.93	144.3	0.15
S110	31.70865	117.32925	7	16.1	955	2.78	30.454312	3.87	5.65	105.6	0.12
S111	31.70885	117.3294	6	16.1	955	3.27	29.016289	0	5.73	159.2	0.2
S117	31.2142333333333	120.400133333333	13	15.7	1000	5.84	3.264107	0.81	7.31	112.5	0.18
S118	31.2132333333333	120.408383333333	10	15.7	1000	1.18	6.602965	0	7.46	53.4	0.04
S119	30.8714833333333	105.390216666667	318	17	973	2.72	14.553414	0	7.71	119.2	0.06
S120	30.8802333333333	105.390166666667	320	17	973	1.19	11.941832	2.42	8.32	66.7	0.03
S121	30.88195	105.389933333333	328	17	973	1.11	11.63658	0.93	8.25	96.5	0.08
S122	30.8983	105.393133333333	321	17	973	1.31	6.39182	0.29	8.31	76.2	0.05
S124	30.29185	104.292283333333	463	16.4	1018	2.68	10.415412	1	7.48	130.5	0.12
S125	30.2909833333333	104.290533333333	458	16.4	1018	1.54	10.055324	0.5	7.65	116.7	0.07
S126	30.2907666666667	104.2846	456	16.4	1018	1.53	7.87914	0.29	8.09	71	0.07
S127	30.3120666666667	104.27525	463	16.4	1018	0.45	5.734268	0.72	8.39	36.7	0.02
S128	30.0352	104.029916666667	473	16.7	1219	1.12	4.763596	1.08	8.29	41.4	0.04
S129	30.0371	104.031033333333	477	16.7	1219	2.61	11.71486	1	8.41	53.8	0.13
S130	30.0345166666667	104.030233333333	479	16.7	1219	1.18	3.34	0.36	8.34	47.8	0.04
S131	30.0009333333333	106.964216666667	288	18	1112	12.9	23.895228	0.43	7.42	188.1	0.51
S132	30.0003333333333	106.963416666667	288	18	1112	4.8	20.576156	0	6.78	151.2	0.18
S133	30.0024166666667	106.963266666667	292	18	1112	6.1	18.462596	1.79	6.81	137.4	0.21
S134	30.0042333333333	106.964616666667	291	18	1112	4.67	19.840324	0.57	6.67	110.2	0.16
S135	29.9127	107.235216666667	337	17.5	1137	1.09	12.231508	0.36	7.36	52.7	0.04
S136	29.91575	107.23765	344	17.5	1137	1.04	9.256868	2.08	6.25	18.7	0.03
S137	29.9209666666667	107.24105	341	17.5	1137	4.89	21.405924	0	6.02	99.6	0.07
S138	29.9220833333333	107.242	341	17.5	1137	2.83	15.738452	0.5	6.07	52.9	0.1
S139	29.4441333333333	116.021866666667	11	17.5	1770	7.71	25.695668	0	4.79	42.4	0.28
S140	29.4442166666667	116.023166666667	10	17.5	1770	4.42	25.789604	0	5.46	37.1	0.19
S141	29.4436833333333	116.023866666667	9	17.5	1770	8.36	52.988248	0.57	5.08	31.6	0.27
S144	29.3637833333333	112.989833333333	26	17.2	1297	10.01	46.799956	0.65	7.61	264	0.4
S145	29.3651166666667	112.989	33	17.2	1297	7.81	29.750572	1.22	7.54	156.3	0.31
S146	29.3674166666667	112.987716666667	28	17.2	1297	12.84	31.879788	4.09	7.77	213	0.45
S147	29.36985	112.987883333333	25	17.2	1297	8.09	33.022676	0	8.03	141.6	0.34
S148	29.3705333333333	112.986483333333	20	17.2	1297	4.97	25.429516	0	7.77	93	0.21
S151	26.86415	104.24805	2180	11.7	926	12.01	11.386084	0.5	7.14	287	0.49
S152	26.8639833333333	104.248066666667	2180	11.7	926	11.02	9.867452	1.65	7.56	232	0.4
S153	26.8639833333333	104.2477	2180	11.7	926	7.78	21.609452	1.36	7.54	449	0.33
S154	26.8641666666667	104.247716666667	2180	11.7	926	9.08	16.035916	1	7.71	221	0.34
S155	26.8640833333333	104.2475	2180	11.7	926	7.8	13.891044	1.22	7.76	463	0.28
S156	24.8780333333333	102.65965	1887	15.3	1006	5.22	20.043852	0	7.06	132.1	0.19
S158	24.87835	102.661516666667	1887	15.3	1006	7.45	16.630844	0	7.4	121.8	0.31
S159	24.8782166666667	102.661566666667	1890	15.3	1006	10.34	16.270756	1.79	6.9	188.7	0.38
S160	24.87805	102.65985	1889	15.3	1006	5.48	22.955868	0.57	6.95	152.9	0.2
S61	40.8964	121.8315	2	9.3	619	1	7.561647	5.16	9.03	557	0.04
S62	40.8963333333333	121.831516666667	1	9.3	619	1.51	7.445944	2.1	8.59	450	0.04
S63	40.9182166666667	121.838616666667	0	9.3	619	1.81	14.470769	3.63	8.51	508	0.09
