SampleID	Group	Shannon	TOC	pH	Conductivity	Temperature	Precipitation	ShannonZ	TOCZ	pHZ	LogECZ	TempZ	PrecipZ	PredictedTOCZ	ResidualTOCZ
S1	IW	6.98185176318363	10.02	5.1	108.7	-4.2	445	0.912780404206516	0.845217033561741	-2.02696196813373	-0.637763669196135	-1.19057216952694	-0.474326290775651	1.78776908235172	-0.942552048789975
S2	IW	6.94872231028956	6.94	6.53	31.2	-4.3	449	0.839915592723482	0.477065457462732	-0.947470098156031	-1.39525374974161	-1.20121706275736	-0.465536592691581	0.692689674073917	-0.215624216611185
S3	IW	6.72217042271093	8.38	5.13	68.2	-4.3	449	0.341638104341004	0.66424912310817	-2.00431528554679	-0.922489796237077	-1.20121706275736	-0.465536592691581	1.65730852952713	-0.993059406418963
S4	IW	6.60245990584459	8.17	5.81	64.4	-4.3	449	0.0783471809474749	0.638819285026756	-1.49099048024271	-0.957391557307883	-1.20121706275736	-0.465536592691581	1.28983158840631	-0.651012303379548
S5	IW	6.33125818154934	8.41	5.5	33.5	-4.3	449	-0.518133013815537	0.667835405664113	-1.7250062003078	-1.35261861822553	-1.20121706275736	-0.465536592691581	1.26589597145414	-0.598060565790028
S6	IW	6.34509184119262	8.13	5.37	33.3	-4.3	449	-0.487707307564022	0.633909536444985	-1.82314182485123	-1.35621144404218	-1.20121706275736	-0.465536592691581	1.3313933279968	-0.697483791551814
S7	IW	6.55704781064653	12.81	5.31	22.9	-4.3	449	-0.0215320342703677	1.09868027056766	-1.86843519002512	-1.57946148797808	-1.20121706275736	-0.465536592691581	1.24813787049126	-0.149457599923594
S9	IW	6.97164768967772	16.94	5.9	82.6	-4.2	444	0.890337597959619	1.39252886724585	-1.42305043248187	-0.805668182792841	-1.19057216952694	-0.476523715296669	1.28870441801695	0.103824449228906
S10	IW	6.0568461121726	65.37	5.16	61	-4.2	445	-1.12167403116159	2.86178627631332	-1.98166860295984	-0.990383357119745	-1.19057216952694	-0.474326290775651	1.60978223356245	1.25200404275087
S11	IW	5.97237003793777	62.84	5	32.4	-4.2	445	-1.30747043545566	2.8181366525659	-2.10245091009022	-1.37264277748093	-1.19057216952694	-0.474326290775651	1.50909658144423	1.30904007112166
S12	IW	5.98012244020466	67.53	5.26	46.1	-4.2	445	-1.29041982699787	2.89775529425463	-1.90617966100336	-1.16023787982529	-1.19057216952694	-0.474326290775651	1.47710447784442	1.42065081641021
S13	IW	6.23536732720733	52.68	5	56.5	-4.2	445	-0.729035048537279	2.62345854990978	-2.10245091009022	-1.03694661934132	-1.19057216952694	-0.474326290775651	1.665507070299	0.957951479610781
S15	IW	6.87282492201119	0.27	9.8	117	-0.7	301	0.67298712256006	-1.58146632534581	1.52101830382095	-0.592692284063141	-0.818000906462181	-0.790755421802184	-1.22641714896235	-0.355049176383455
S16	IW	6.77811690559361	0.7	9.58	139.5	-0.7	301	0.464686617741452	-1.25395668449667	1.35494263151669	-0.484843384430837	-0.818000906462181	-0.790755421802184	-1.05689280410258	-0.19706388039409
S17	IW	6.69816067012838	0.69	9.9	241	-0.7	301	0.28883113221033	-1.26058268129366	1.59650724577743	-0.14883750903436	-0.818000906462181	-0.790755421802184	-1.05752204211508	-0.203060639178579
S18	IW	6.96943748629578	0.64	9.1	93.3	-0.7	301	0.885476483793936	-1.29431203902159	0.992595710125573	-0.731242002666786	-0.818000906462181	-0.790755421802184	-0.932398749734782	-0.361913289286804
S19	IW	6.92391162402502	0.4	8.76	76.2	-0.7	301	0.785347049644576	-1.47201392551023	0.735933307473532	-0.854885370450804	-0.818000906462181	-0.790755421802184	-0.814539416119544	-0.657474509390689
S20	IW	6.99008710217453	1.96	8.68	152.2	-0.7	301	0.930893182132216	-0.631127431699198	0.675542153908346	-0.431366750862023	-0.818000906462181	-0.790755421802184	-0.568424255411358	-0.0627031762878406
S22	IW	6.70514178675637	4.89	6.81	13.1	2	668	0.30418537752992	0.14164251345236	-0.73610106067788	-1.90556351166469	-0.530588789240796	0.01569937741127	-0.0819485825187311	0.223591095971091
S23	IW	6.8020887621788	3.85	6.36	23.4	1.9	668	0.517410241538171	-0.0765509355777944	-1.07580129948205	-1.5666667390026	-0.541233682471218	0.01569937741127	0.325683553275361	-0.402234488853155
S24	IW	6.41985828816239	7.8	5.78	27.8	1.9	668	-0.323266226054846	0.59256364544593	-1.51363716282965	-1.46421304433496	-0.541233682471218	0.01569937741127	0.687602000604438	-0.0950383551585081
S25	IW	6.31641585722723	0.97	6.5	17	1.9	668	-0.550777173897466	-1.08840532978446	-0.970116780742976	-1.75465850796112	-0.541233682471218	0.01569937741127	0.174408015595385	-1.26281334537984
S26	IW	6.89869141103434	2.06	8.76	102.2	3.6	428	0.729877794809493	-0.593811600543612	0.735933307473532	-0.675509246402864	-0.360270497554049	-0.51168250763295	-1.0227265462411	0.428914945697491
S27	IW	6.85544921972718	2.17	8.66	86.6	3.6	428	0.634771059187136	-0.554147333310384	0.66044436551705	-0.776786090020204	-0.360270497554049	-0.51168250763295	-1.01887312188795	0.464725788577568
S28	IW	6.5003633024031	0.75	10.54	447	3.6	428	-0.146203758260882	-1.22140068908978	2.07963647429892	0.231739207636893	-0.360270497554049	-0.51168250763295	-1.49595035873195	0.274549669642169
S30	IW	6.85193430116915	5.35	9.12	147.9	3.6	428	0.627040358685451	0.226098543445448	1.00769349851687	-0.448959772787242	-0.360270497554049	-0.51168250763295	-1.09837320049196	1.32447174393741
S34	IW	6.97443682038575	1.89	7.9	47.9	3.2	550	0.896472003012793	-0.65800639800347	0.0867284066477815	-1.13706150234831	-0.402850070475736	-0.243596716068805	-0.583629209141434	-0.0743771888620361
S35	IW	6.91210922405472	3.73	7.78	53.8	3.2	550	0.759388889344346	-0.104688604332138	-0.0038583236999978	-1.06666746022541	-0.402850070475736	-0.243596716068805	-0.485239010466727	0.38055040613459
S36	IW	6.06613805497584	0.89	10.62	1797	3.5	437	-1.10123736223036	-1.13496549755582	2.14002762786411	1.09048525250436	-0.370915390784471	-0.491905686943792	-1.08359930151929	-0.0513661960365248
S37	IW	7.27504479577233	1.22	8.93	291	3.5	437	1.55762821126275	-0.954224087697845	0.864264508799553	-0.0327738790785214	-0.370915390784471	-0.491905686943792	-0.784293756291736	-0.169930331406109
S61	CW	6.42240613916445	1	9.03	557	9.3	619	-0.317662490806173	-1.07143115480447	0.939753450756035	0.367422990204332	0.246488416579986	-0.0919744241185917	-1.0477595664404	-0.023671588364079
S62	CW	6.21025276482406	1.51	8.59	450	9.3	619	-0.784271935768321	-0.816334466523883	0.607602106147512	0.235863567549787	0.246488416579986	-0.0919744241185917	-0.877240414693547	0.0609059481696646
