	S1	S2	S3	S4	S5	S6	S7	S9	S10	S11	S12	S13	S15	S16	S17	S18	S19	S20	S22	S23	S24	S25	S26	S27	S28	S30	S34	S35	S36	S37	S61	S62	S63	S65	S85	S86	S87	S88	S89	S112	S113	S114	S161	S162	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S179	S182	S187	S188	S191	S194	S196	S197	S198	S201	S202	S203	S204	S205	S206	S207	S208	S209	S210	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225
Acetothermia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004068900040689	0.000670433866487884	0.000655799138092561	0.000956444967628016	0.0010016694490818	0.000796051584142652	0.000482439212659205	0.000820830863240458	0.000527943283807225	0.000594334015716833	0.000393959290873276	0.0011441647597254	0.000325520833333333	0.00065568396033112	0.000546448087431694	0.000807899461400359	0.000289435600578871	0.000844918964590214	0.000347383047707272	0.000396222677144555	0.000431257547007073	0.000690655432004973	0.00132322867797426	0.000669612963706977	0.000470422203928025	0.000533936367348221	0.000284548989851086	0.00059028392656868	0.000671140939597315	0.000640461132015051	0.00065592203898051	0.000426127716564193	0.000980130089993763	0.000461858209529674	0.000386907064923005	0.000841968911917098	0.000782943868947242	0.000704187205460159	0.000663129973474801	0.000850189521414149	0.000564220368355298	0.000769069425994547	0.000849296970840804	0.000707896261020658	0.000395390872119295	0.000505484506899864	0.000688982029052076	0.000412128348542832
Acidobacteria	0.118823897893665	0.247683455387834	0.248851514443666	0.263855421686747	0.245578231292517	0.243374028856826	0.255152561888313	0.180826250247084	0.200138395244236	0.195333128645993	0.198044863402287	0.230338733431517	0.119919478527607	0.147079373951928	0.0699273436115541	0.128609769189479	0.134749034749035	0.112813046010483	0.233308776130399	0.235547467394601	0.2486798277683	0.221196553753947	0.177899954421149	0.140459576515881	0.11870962750938	0.234317793507444	0.280214861235452	0.222793791574279	0.13886757710603	0.18549586531025	0.0533405905565383	0.0571428571428571	0.0657313088602729	0.0472411186696901	0.0636031265758951	0.080803393875116	0.0409472880061115	0.0663414634146341	0.133188300700991	0.0572875033306688	0.0243207296218887	0.0322254146532585	0.0707310457073105	0.0982185614404751	0.0481543938542252	0.0765155974102413	0.0647746243739566	0.112959719789842	0.0642609031262061	0.0782981440102148	0.0854513915076552	0.0787822756389091	0.074392646093237	0.0698820630170745	0.064697265625	0.0808130481108106	0.0577185792349727	0.0526929982046679	0.126772793053546	0.10430908671941	0.0462019453450672	0.0557353232516674	0.0540796963946869	0.0484840113267491	0.0309755804162156	0.146578277755457	0.145007644360814	0.070385376425139	0.0389357867779569	0.0520630423233575	0.0822147651006711	0.0441918181090385	0.0654047976011994	0.0699458209046083	0.0466898333778847	0.0518050958355785	0.0817534628182311	0.0969559585492228	0.0583594314622982	0.0856399978332701	0.0877541998231653	0.127847249282653	0.110305082013461	0.103614626302174	0.111824101160706	0.0777398803011777	0.0699841843651152	0.0487287064651468	0.118390078658782	0.066028848984398
Actinobacteria	0.121760238039308	0.0838439695112838	0.0883749902670716	0.088328313253012	0.079421768707483	0.0565149833518313	0.107599309153713	0.124214271595177	0.0613342559682949	0.0898986797666564	0.0777690494893951	0.077319587628866	0.0930789877300613	0.0948854108440469	0.0963317384370016	0.16027911969941	0.112097812097812	0.108561444379732	0.0743162353807901	0.10185016681832	0.0726297830855472	0.0523626050195323	0.0918128988149499	0.141181424446583	0.124666383011643	0.0987714587909853	0.113486755490021	0.173835920177384	0.21620377474298	0.123029329525849	0.112600353789631	0.0755739795918367	0.0869370235120764	0.0906448049305192	0.0616490166414523	0.0865703301073843	0.103896103896104	0.102959349593496	0.0376117959874305	0.0958699706901146	0.0575717271518146	0.0734621914587959	0.0585243455852435	0.0774829997126712	0.151958028855162	0.0616539140670983	0.0748580968280467	0.139866263333864	0.165573137784639	0.139085229604633	0.0687834678331699	0.0863105065046556	0.0873276428102429	0.0816757613096286	0.0836588541666667	0.101139250881075	0.0926912568306011	0.156552962298025	0.0979257115291848	0.146631845763884	0.0673923112552108	0.0491316119659249	0.0552009660169053	0.0729332136197251	0.0732587513533021	0.0703093611892326	0.0658591085499236	0.106504601275166	0.308498529830219	0.0631603801428487	0.0797818791946309	0.0574013289568489	0.105134932533733	0.0793206306690205	0.0567584424841843	0.0716649988453545	0.0835332353168769	0.108678756476684	0.0764875933509998	0.0965278153946157	0.114279398762157	0.091253675298452	0.120098335549913	0.119834999650423	0.164669246013023	0.13462899800502	0.0929168549480343	0.273618763584896	0.11448584716082	0.0724757138651752
Aerophobetes	0	0.000112090868330593	0	0.000150602409638554	0	4.43951165371809e-05	0	3.95335046451868e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.54603463992707e-05	6.01539942252166e-05	0	8.13603449678627e-05	5.26620675127706e-05	0	0	5.94919388422869e-05	0	0	0	0	6.30358043368633e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6487842531841e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133922592741395	0.00017640832647301	0	4.74248316418477e-05	0	0	0	0	0	8.91027354539784e-05	0	0	0	0	0	0	0	0	0	0	0	5.64844103027564e-05	0	5.7415169087673e-05	0
Aminicenantes	0.000939628846605591	0.000298908982214916	0.000389317137740403	0.000150602409638554	0.00158730158730159	0.00541620421753607	0.000863557858376511	0.000909270606839296	0.00421476425628283	0.00294749769726742	0.00183294056035611	0.001620029455081	0.000718941717791411	0.000768585802124092	0.000425305688463583	0.00107353730542136	0.000257400257400257	0.00168899242865463	0.000506492310525831	0.00048528965726418	0.000487448208627833	0.000321078824851501	0.000655195989061076	0.000481231953801732	0.000309441844273392	0.000650882759742901	0.000157986202538312	0.000266075388026608	0.000383612091453123	0.000356951633053721	0.000340182337733025	0.000127551020408163	0.00108911525402012	0.000145357288214431	0.00018910741301059	0.00139201909054753	0.000305576776165011	0.00110569105691057	4.8344210780759e-05	0.00197175592859046	0.00025334093356134	0.00124069478908189	0.0037976400379764	0.00656067426491715	0.00178002623196552	0.00309005297233667	0.00567612687813022	0.00167170832669957	0.00202624469316866	0.0028729080213416	0.00490233049249566	0.00237733606286733	0.00203545633617859	0.00246435486710086	0.002197265625	0.00254077534628309	0.00983606557377049	0.00215439856373429	0.00713941148094549	0.00583762193716875	0.0149760691678246	0.016905500891501	0.0182853199930999	0.000207196629601492	0.000240587032358956	0.000870496852819071	0.000529224979419029	0.00144476899400107	0.000189699326567391	0.000826397497196151	0.00419463087248322	0.000640461132015051	0.00065592203898051	0.000243501552322396	0.00106923282544774	0.000615810946039566	0.00123810260775362	0.00038860103626943	0.0207781257528306	0.00184172038351119	0.000368405540819334	0.00046051932409933	0.00120904364647564	0.000419492414178844	0.00103802963102765	0.00128708411094665	0.00079078174423859	0.00126371126724966	0.000918642705402767	0.00309096261407124
Armatimonadetes	0.00595098269516874	0.00433418024211628	0.00389317137740403	0.0052710843373494	0.00606575963718821	0.00563817980022198	0.0047783534830167	0.00814390195690848	0.00569307709244173	0.002579060485109	0.00375316400453871	0.00360824742268041	0.00786042944785276	0.011109558412521	0.012936381357434	0.00479513329754876	0.00933075933075933	0.00314502038439138	0.00497283359425361	0.00624810433727631	0.00544317166301081	0.00264890030502488	0.00697926162260711	0.00433108758421559	0.00313309867326809	0.00423073793832886	0.00784664805940281	0.00443458980044346	0.00138100352923124	0.00517579867927896	0.00102054701319907	0.000956632653061224	0.0024985585239285	0.00133728705157277	0.00113464447806354	0.00159087896062575	0.00122230710466005	0.00149593495934959	0.00116026105873822	0.00287769784172662	0.00063335233390335	0.0017630925950111	0.00115285501152855	0.00129297959965521	0.00159265504965336	0.000956444967628016	0.000734557595993322	0.00382104760388473	0.004245465071401	0.00264489944821925	0.000452522814691907	0.000528296902859407	0.000656598818122127	0.00158422812885055	0.000651041666666667	0.00065568396033112	0.000956284153005464	0.000628366247755835	0.00260492040520984	0.00268837852369614	0.00142813030724101	0.0020471504985802	0.00258754528204244	0.00103598314800746	0.000842054613256346	0.00435248426409535	0.00352816652946019	0.00483683532774271	0.000853646969553258	0.000413198748598076	0.00335570469798658	0.00152109518853575	0.00730884557721139	0.00310464479211055	0.00810834892631204	0.00292510199368794	0.00553277102839898	0.00323834196891192	0.0024090580582992	0.00330426304100536	0.00427350427350427	0.00559708101597648	0.00358682948454439	0.00608264000559323	0.0029253562328961	0.00463350279940794	0.00305015815634885	0.00363948844967902	0.00378940115978642	0.00418015896379158
Atribacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.37755102040816e-05	6.40656031776539e-05	0	0	0	0	0	4.8344210780759e-05	5.32907007727152e-05	0	6.52997257411519e-05	0.00033907500339075	9.57762666411263e-05	0.000468427955780401	7.35726898175397e-05	0.000400667779632721	0.00015921031682853	0	0.000228008573122349	7.54204691153179e-05	0.000132074225714852	0.000262639527248851	0.000352050695300123	0.000406901041666667	0	0.000136612021857923	0	9.64785335262904e-05	0.000307243259850987	0.000192990582059595	0.000132074225714852	8.62515094014145e-05	0.000138131086400995	0.000120293516179478	0	0.00017640832647301	3.14080216087189e-05	4.74248316418477e-05	5.9028392656868e-05	0.000251677852348993	0.000160115283003763	0	0	8.91027354539784e-05	0.000230929104764837	7.73814129846011e-05	0.000129533678756477	0.00277041676704409	0.000270841232869292	7.36811081638668e-05	0.000141698253569025	0.000120904364647564	0	0.000283098990280268	0.000128708411094665	0.000112968820605513	0.000303290704139918	5.7415169087673e-05	0.000264939652634678
Bacteroidetes	0.180721948163809	0.0326558063069795	0.0269407459316359	0.0224397590361446	0.0285147392290249	0.0404439511653718	0.0500287852619459	0.0902549911049614	0.107507941999811	0.183358919250844	0.154490704372872	0.114727540500736	0.09375	0.0793739519284516	0.147687400318979	0.0505993916621936	0.0688545688545689	0.0715783343040186	0.0162077539368266	0.0208067940552017	0.0219351693882525	0.00834804944613903	0.0525865998176846	0.0329042348411935	0.0426642942791939	0.0357171914408917	0.0299120543472537	0.0354767184035477	0.0451895043731778	0.0701409958950562	0.166825418424275	0.247257653061224	0.147607149721315	0.132711204139776	0.0545890065557237	0.113151266074506	0.0437738731856379	0.12130081300813	0.0250906453952139	0.127311484146017	0.195167521692317	0.14907927386705	0.122338261223383	0.067091274782109	0.0400974330148023	0.123013537374926	0.0536894824707846	0.0725202993153956	0.0845233500578927	0.0368461854165717	0.0843200844709254	0.0749521230931784	0.110899540380827	0.0936454849498328	0.0992024739583333	0.0759773789033686	0.146311475409836	0.0964093357271095	0.0437047756874096	0.0722789768799447	0.196348618187432	0.0982632239318497	0.161376574090047	0.241798466744941	0.225430049320342	0.132583366813982	0.129189697753734	0.235026225698043	0.146779853931519	0.164453101942034	0.0976510067114094	0.26595148506925	0.234538980509745	0.214829244536434	0.28824734919362	0.151951350935263	0.24386752302097	0.141839378238342	0.15893760539629	0.18054276583067	0.256189213085765	0.0982677388501187	0.0831015999677588	0.131021464028525	0.129753703878456	0.188107342814853	0.349356077722549	0.216145175150382	0.136820347935925	0.208448631145128
Caldiserica	0.000234907211651398	0	0	0	0	4.43951165371809e-05	5.75705238917674e-05	0.000276734532516308	0.000125813858396502	0.000184218606079214	0.00218207209566204	0.000441826215022091	0	0.000139742873113471	7.08842814105972e-05	3.57845768473788e-05	0	0.00011648223645894	4.60447555023483e-05	0	0	2.67565687376251e-05	0	0	0	0	0	0	0	0	0	0	6.40656031776539e-05	8.72143729286586e-05	6.30358043368633e-05	6.62866233594061e-05	0	0.000130081300813008	0	0	0	0	0.0002712600027126	0.000287328799923379	0.00018737118231216	0.000515008828722778	0.000333889816360601	0.000477630950485591	0.000578927055191046	4.56017146244699e-05	0.000452522814691907	0.000198111338572278	0.000393959290873276	0.000352050695300123	0.000732421875	0.00040980247520695	0.000614754098360656	0.000538599640933573	0.000385914134105162	0.000537675704739227	0.000347383047707272	0.000396222677144555	0.000258754528204244	0.000414393259202984	0.000481174064717912	0.000401767778224186	0.000705633305892038	0.000502528345739502	9.48496632836953e-05	0.000531255533911812	0.000503355704697987	8.00576415018814e-05	0.000562218890554723	0.000487003104644792	0.000445513677269892	0.000230929104764837	0.000193453532461503	0.000259067357512953	0.00228860515538424	0.000433345972590867	0.000147362216327734	0.00028339650713805	0.000282110184177649	0.000139830804726281	0.000377465320373691	0.000579187849925993	0.000508359692724808	0.000151645352069959	0.000229660676350692	0.000206064174271416
Candidate division OP3	0.000117453605825699	0.000485727096099238	0.000155726855096161	0	0.000113378684807256	0.000133185349611543	0.000115141047783535	0.000316268037161494	0.000314534645991256	0.000368437212158428	0.000174565767652963	7.36377025036819e-05	0	0	0	0	0	0.00011648223645894	4.60447555023483e-05	0	8.12413681046389e-05	8.02697062128753e-05	5.69735642661805e-05	0	3.8680230534174e-05	8.13603449678627e-05	0	0	0	0.000118983877684574	0	0	6.40656031776539e-05	2.90714576428862e-05	0	0.000132573246718812	0	0.000195121951219512	0	5.32907007727152e-05	0	3.26498628705759e-05	0	4.78881333205632e-05	0	7.35726898175397e-05	0	0	0	0	0	0	0	0.000176025347650062	0	0	6.83060109289617e-05	8.97666068222621e-05	9.64785335262904e-05	0.000153621629925494	0.000926354793886058	0.000396222677144555	0.000603760565809902	0.000138131086400995	0	6.69612963706977e-05	0	3.14080216087189e-05	4.74248316418477e-05	0.00029514196328434	0.000671140939597315	0	0	0	0	7.69763682549457e-05	3.86907064923006e-05	6.47668393782383e-05	0.000722717417489762	0	7.36811081638668e-05	0	8.06029097650425e-05	6.99154023631406e-05	0.000283098990280268	0	0.000282422051513782	5.05484506899864e-05	0	8.83132175448925e-05
