GroupCode	Group	Taxon	EqualSampleMean	PooledReadShare	AbsoluteDifferencePP
IW	Inland wetland	Proteobacteria	0.23380807835259423	0.23094661110039663	0.28614672521976026
IW	Inland wetland	Chloroflexi	0.17560180417559512	0.18367894547070612	0.8077141295111001
IW	Inland wetland	Bacteroidetes	0.06519396132055894	0.06599528748836546	0.08013261678065237
IW	Inland wetland	Acidobacteria	0.19261967335626284	0.1876585860788046	0.4961087277458254
IW	Inland wetland	Actinobacteria	0.10352535550749131	0.10055091105763184	0.2974444449859476
IW	Inland wetland	Firmicutes	0.0294512290491522	0.028885516154188013	0.056571289496418556
IW	Inland wetland	Verrucomicrobia	0.05990099661272495	0.06075115087583957	0.08501542631146192
IW	Inland wetland	Planctomycetes	0.03931513940261382	0.03825855086074612	0.10565885418677007
IW	Inland wetland	Gemmatimonadetes	0.0406274981936203	0.041506997492809644	0.08794992991893458
IW	Inland wetland	Nitrospirae	0.014222161227460247	0.01482344851874523	0.060128729128498294
IW	Inland wetland	Other known phyla	0.042279930178036586	0.04321758890463453	0.09376587265979425
IW	Inland wetland	Unknown phylum	0.003454172623889436	0.003726405997132244	0.027223337324280797
CW	Coastal wetland	Proteobacteria	0.37269758830053235	0.37046753241450553	0.2230055886026816
CW	Coastal wetland	Chloroflexi	0.12366948115320059	0.12129792763567546	0.23715535175251323
CW	Coastal wetland	Bacteroidetes	0.10072289274626053	0.10679688951405292	0.6073996767792383
CW	Coastal wetland	Acidobacteria	0.07105327441085589	0.06789744134153487	0.3155833069321018
CW	Coastal wetland	Actinobacteria	0.09523486410163824	0.09092189691462496	0.4312967187013281
CW	Coastal wetland	Firmicutes	0.09213868085979703	0.10666827267586311	1.4529591816066083
CW	Coastal wetland	Verrucomicrobia	0.020644972634693764	0.018702521502489654	0.194245113220411
CW	Coastal wetland	Planctomycetes	0.036347424187948674	0.033111690453976605	0.3235733733972068
CW	Coastal wetland	Gemmatimonadetes	0.025225311601363886	0.02540692938527276	0.01816177839088738
CW	Coastal wetland	Nitrospirae	0.009889133660418981	0.009346156908459517	0.0542976751959464
CW	Coastal wetland	Other known phyla	0.0491473851787154	0.046034620386381314	0.3112764792334084
CW	Coastal wetland	Unknown phylum	0.003228991164574667	0.0033481208671633047	0.011912970258863781
TW	Tibetan wetland	Proteobacteria	0.31489623418413215	0.3137278421464958	0.11683920376363566
TW	Tibetan wetland	Chloroflexi	0.11545140749277512	0.11395949456291538	0.14919129298597428
TW	Tibetan wetland	Bacteroidetes	0.1835605720811792	0.18336900580630408	0.01915662748751268
TW	Tibetan wetland	Acidobacteria	0.07645415411086307	0.07710501951053118	0.06508653996681185
TW	Tibetan wetland	Actinobacteria	0.10152667604197732	0.10357262003381076	0.20459439918334432
TW	Tibetan wetland	Firmicutes	0.05645664711924213	0.05658428886831422	0.01276417490720938
TW	Tibetan wetland	Verrucomicrobia	0.03311568044609951	0.03375453090385675	0.06388504577572382
TW	Tibetan wetland	Planctomycetes	0.027865723082728028	0.02690803998815499	0.09576830945730377
TW	Tibetan wetland	Gemmatimonadetes	0.022500207258882052	0.02323271321955626	0.07325059606742082
TW	Tibetan wetland	Nitrospirae	0.010374590146619473	0.011217149775657005	0.08425596290375317
TW	Tibetan wetland	Other known phyla	0.05408992464724871	0.05303265999197838	0.10572646552703333
TW	Tibetan wetland	Unknown phylum	0.003708183388253242	0.003536635192425191	0.01715481958280509
