SampleID	Group	GroupLabel	TargetReads	Method	Order	SampleCoverage	HillD
S1	IW	Inland wetland	10000	Rarefaction	0	0.8637492514041722	2560.9334258428803
S1	IW	Inland wetland	10000	Rarefaction	1	0.8637492514041722	927.6379766089119
S1	IW	Inland wetland	10000	Rarefaction	2	0.8637492514041722	275.29287188691467
S2	IW	Inland wetland	10000	Rarefaction	0	0.8727838374427577	2454.8779158096313
S2	IW	Inland wetland	10000	Rarefaction	1	0.8727838374427577	899.3219350730262
S2	IW	Inland wetland	10000	Rarefaction	2	0.8727838374427577	283.35907014061246
S3	IW	Inland wetland	10000	Rarefaction	0	0.8720998062514291	2359.087888048313
S3	IW	Inland wetland	10000	Rarefaction	1	0.8720998062514291	794.5815235918184
S3	IW	Inland wetland	10000	Rarefaction	2	0.8720998062514291	261.20646491831843
S4	IW	Inland wetland	10000	Rarefaction	0	0.8760991773420783	2250.349420505309
S4	IW	Inland wetland	10000	Rarefaction	1	0.8760991773420783	702.4540403314887
S4	IW	Inland wetland	10000	Rarefaction	2	0.8760991773420783	218.91114093427942
S5	IW	Inland wetland	10000	Rarefaction	0	0.8763038901258716	2085.1799450141507
S5	IW	Inland wetland	10000	Rarefaction	1	0.8763038901258716	515.7005119491997
S5	IW	Inland wetland	10000	Rarefaction	2	0.8763038901258716	167.4986579710824
S6	IW	Inland wetland	10000	Rarefaction	0	0.8854898502856319	2001.0739890138566
S6	IW	Inland wetland	10000	Rarefaction	1	0.8854898502856319	510.66268717774096
S6	IW	Inland wetland	10000	Rarefaction	2	0.8854898502856319	159.30404655816122
S7	IW	Inland wetland	10000	Rarefaction	0	0.8833414002459816	2144.8793493796707
S7	IW	Inland wetland	10000	Rarefaction	1	0.8833414002459816	648.3764763979486
S7	IW	Inland wetland	10000	Rarefaction	2	0.8833414002459816	200.48738749864415
S9	IW	Inland wetland	10000	Rarefaction	0	0.8678422486432353	2512.743416421375
S9	IW	Inland wetland	10000	Rarefaction	1	0.8678422486432353	921.9029634448993
S9	IW	Inland wetland	10000	Rarefaction	2	0.8678422486432353	255.97265169073364
S10	IW	Inland wetland	10000	Rarefaction	0	0.8989461752104841	1774.3118744028181
S10	IW	Inland wetland	10000	Rarefaction	1	0.8989461752104841	375.68901696038324
S10	IW	Inland wetland	10000	Rarefaction	2	0.8989461752104841	84.83878273558479
S11	IW	Inland wetland	10000	Rarefaction	0	0.8872938333314891	1922.0521618677465
S11	IW	Inland wetland	10000	Rarefaction	1	0.8872938333314891	366.2726626277524
S11	IW	Inland wetland	10000	Rarefaction	2	0.8872938333314891	51.250620296543374
S12	IW	Inland wetland	10000	Rarefaction	0	0.8849607396397631	1967.1664856432722
