SampleID	Group	GroupLabel	LibrarySize	Singletons	Doubletons	GoodsCoverage	iNEXTCoverage
S1	IW	Inland wetland	25542	1788	686	0.9299976509278834	0.93
S2	IW	Inland wetland	26764	1761	607	0.9342026602899417	0.9342
S3	IW	Inland wetland	12843	1415	430	0.8898232500194658	0.8898
S4	IW	Inland wetland	13280	1405	397	0.8942018072289156	0.8942
S5	IW	Inland wetland	17640	1592	465	0.909750566893424	0.9098
S6	IW	Inland wetland	22525	1621	489	0.9280355160932298	0.928
S7	IW	Inland wetland	17370	1438	477	0.9172135866436385	0.9172
S9	IW	Inland wetland	25295	1809	636	0.9284838900968571	0.9285
S10	IW	Inland wetland	31793	1694	523	0.9467178309690812	0.9467
S11	IW	Inland wetland	16285	1446	346	0.9112066318698189	0.9112
S12	IW	Inland wetland	11457	1230	314	0.8926420528934276	0.8926
S13	IW	Inland wetland	13580	1476	402	0.8913107511045655	0.8913
S15	IW	Inland wetland	20864	1569	497	0.9247986963190185	0.9248
S16	IW	Inland wetland	14312	1514	440	0.8942146450531023	0.8942
S17	IW	Inland wetland	28215	1832	594	0.9350699982278929	0.9351
S18	IW	Inland wetland	27945	1850	669	0.9337985328323493	0.9338
S19	IW	Inland wetland	15540	1561	504	0.8995495495495496	0.8996
S20	IW	Inland wetland	17170	1844	569	0.8926033779848573	0.8926
S22	IW	Inland wetland	21718	1714	552	0.9210792890689751	0.9211
S23	IW	Inland wetland	16485	1615	521	0.9020321504397938	0.902
S24	IW	Inland wetland	12309	1451	398	0.882118774880169	0.8821
S25	IW	Inland wetland	37374	1770	605	0.9526408733344036	0.9526
S26	IW	Inland wetland	35104	1734	688	0.9506039197812215	0.9506
S27	IW	Inland wetland	16624	1719	617	0.8965952839268527	0.8966
S28	IW	Inland wetland	25853	1948	644	0.9246509109194291	0.9247
S30	IW	Inland wetland	12291	1610	506	0.8690098446017411	0.869
S34	IW	Inland wetland	18989	1549	519	0.9184264574227184	0.9184
S35	IW	Inland wetland	11275	1323	431	0.8826607538802661	0.8827
S36	IW	Inland wetland	13034	1410	346	0.8918213902102194	0.8918
S37	IW	Inland wetland	16809	1816	617	0.891962639062407	0.892
