GroupCode	Group	RareThreshold	ThresholdLabel	Samples	MeanRareMass	MinimumRareMass	MaximumRareMass
ALL	All samples	1e-4	0.01%	90	0.10467664105502253	0.06829095688217156	0.14221552184427902
IW	Inland wetland	1e-4	0.01%	30	0.10918719550284131	0.08157354257728158	0.1309901553982589
CW	Coastal wetland	1e-4	0.01%	30	0.10704805456073259	0.08504098360655737	0.13748191027496381
TW	Tibetan wetland	1e-4	0.01%	30	0.0977946731014937	0.06829095688217156	0.14221552184427902
ALL	All samples	5e-4	0.05%	90	0.3186407888666507	0.20080435746405725	0.4381277621534753
IW	Inland wetland	5e-4	0.05%	30	0.32317264452613764	0.23143459252036613	0.41810934618359213
CW	Coastal wetland	5e-4	0.05%	30	0.3077804458173758	0.20080435746405725	0.41987457790641586
TW	Tibetan wetland	5e-4	0.05%	30	0.32496927625643873	0.20360522135506595	0.4381277621534753
ALL	All samples	0.001	0.1%	90	0.4415014769802413	0.23329533219329912	0.5943484665863131
IW	Inland wetland	0.001	0.1%	30	0.4474257389667914	0.3137946908086543	0.5818906538164078
CW	Coastal wetland	0.001	0.1%	30	0.4274278529546168	0.23329533219329912	0.5802219006271104
TW	Tibetan wetland	0.001	0.1%	30	0.4496508390193156	0.2724635679259617	0.5943484665863131
ALL	All samples	0.005	0.5%	90	0.7365071580305924	0.3321932991323073	0.9110084371233428
IW	Inland wetland	0.005	0.5%	30	0.7488512111583735	0.5928341261316556	0.8951157118210482
CW	Coastal wetland	0.005	0.5%	30	0.7247189366660273	0.3321932991323073	0.8633179430027066
TW	Tibetan wetland	0.005	0.5%	30	0.7359513262673765	0.4838731956626839	0.9110084371233428
