FeatureID	PositiveSamples	RawPresence	DetectedSamples	Prevalence	EqualSampleMean	PooledReadFraction	MaximumSampleAbundance	TotalReads	PrimaryCore	IWPrevalence	CWPrevalence	TWPrevalence	IWCore	CWCore	TWCore	BestRank	BestTaxon	DisplayLabel	Lineage	FeatureState
OTU_4272	35	0.3888888888888889	9	0.1	3.811249934008746e-5	3.5809763717300435e-5	3.2544137987145064e-4	58	FALSE	0.13333333333333333	0.03333333333333333	0.13333333333333333	FALSE	FALSE	FALSE	Order	Bacillales	O · Bacillales	Bacteria > Firmicutes > Bacilli > Bacillales > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_236	31	0.34444444444444444	10	0.1111111111111111	2.6650037773057563e-4	2.870955194576673e-4	0.005964653902798232	465	FALSE	0.3	0.03333333333333333	0	FALSE	FALSE	FALSE	Phylum	Chloroflexi	P · Chloroflexi	Bacteria > Chloroflexi > Unknown class > Unknown order > Unknown family > Unknown genus > Unknown species	Intermediate
OTU_399	72	0.8	53	0.5888888888888889	2.8598689484911956e-4	2.858607000191397e-4	0.004228329809725159	463	FALSE	0.5666666666666667	0.5333333333333333	0.6666666666666666	FALSE	FALSE	FALSE	Family	Nitrosomonadaceae	F · Nitrosomonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Nitrosomonadales > Nitrosomonadaceae > Unknown genus > Unknown species	Intermediate
OTU_1556	79	0.8777777777777778	60	0.6666666666666666	3.807320043257894e-4	3.383405261565628e-4	0.004438012542209358	548	FALSE	0.6666666666666666	0.6	0.7333333333333333	FALSE	FALSE	FALSE	Order	Subgroup 17	O · Subgroup 17	Bacteria > Acidobacteria > Acidobacteria > Subgroup 17 > Unknown family > Unknown genus > Unknown species	Intermediate
OTU_32	90	1	84	0.9333333333333333	0.0011985667539466942	0.0013107608339970487	0.013318534961154272	2123	TRUE	0.9333333333333333	0.9	0.9666666666666667	TRUE	TRUE	TRUE	Phylum	Miscellaneous Crenarchaeotic Group	P · Miscellaneous Crenarchaeotic Group	Archaea > Miscellaneous Crenarchaeotic Group > Unknown class > Unknown order > Unknown family > Unknown genus > Unknown species	Primary core
OTU_706	34	0.37777777777777777	9	0.1	3.789820817903067e-5	3.4574944278772834e-5	6.912973346647207e-4	56	FALSE	0.16666666666666666	0.13333333333333333	0	FALSE	FALSE	FALSE	Genus	Nakamurella	G · Nakamurella	Bacteria > Actinobacteria > Actinobacteria > Frankiales > Nakamurellaceae > Nakamurella > Unknown species	Persistently rare
OTU_2246	15	0.16666666666666666	3	0.03333333333333333	1.3005060672266517e-5	1.2348194385276013e-5	2.008838891120932e-4	20	FALSE	0.06666666666666667	0	0.03333333333333333	FALSE	FALSE	FALSE	Class	S085	C · S085	Bacteria > Chloroflexi > S085 > Unknown order > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_3692	84	0.9333333333333333	69	0.7666666666666667	3.2791131494680297e-4	3.3772311643729894e-4	0.0017118233870491706	547	FALSE	0.5666666666666667	0.8333333333333334	0.9	FALSE	TRUE	TRUE	Genus	Rhodobacter	G · Rhodobacter	Bacteria > Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Rhodobacter > Unknown species	Intermediate
OTU_5342	5	0.05555555555555555	0	0	3.564707730997055e-6	3.704458315582804e-6	7.71962328238382e-5	6	FALSE	0	0	0	FALSE	FALSE	FALSE	Class	WCHB1-41	C · WCHB1-41	Bacteria > Lentisphaerae > WCHB1-41 > Unknown order > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_50	86	0.9555555555555556	74	0.8222222222222222	0.001751408063419826	0.001681824075274593	0.033587155421757865	2724	TRUE	0.6	0.8666666666666667	1	FALSE	TRUE	TRUE	Family	Comamonadaceae	F · Comamonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus > Unknown species	Primary core
OTU_8058	39	0.43333333333333335	9	0.1	4.486538401132682e-5	4.445349978699365e-5	4.434589800443459e-4	72	FALSE	0.1	0.2	0	FALSE	FALSE	FALSE	Genus	Mycobacterium	G · Mycobacterium	Bacteria > Actinobacteria > Actinobacteria > Corynebacteriales > Mycobacteriaceae > Mycobacterium > Unknown species	Persistently rare
OTU_7152	31	0.34444444444444444	11	0.12222222222222222	3.645843600813126e-5	3.519235399803664e-5	3.491315353059265e-4	57	FALSE	0.26666666666666666	0	0.1	FALSE	FALSE	FALSE	Class	OPB35 soil group	C · OPB35 soil group	Bacteria > Verrucomicrobia > OPB35 soil group > Unknown order > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_999	61	0.6777777777777778	34	0.37777777777777777	2.164452866602044e-4	2.0127556847999902e-4	0.0029514196328433977	326	FALSE	0.26666666666666666	0.13333333333333333	0.7333333333333333	FALSE	FALSE	FALSE	Genus	Desulfocapsa	G · Desulfocapsa	Bacteria > Proteobacteria > Deltaproteobacteria > Desulfobacterales > Desulfobulbaceae > Desulfocapsa > Unknown species	Intermediate
