SampleID	GroupCode	LibrarySize	DetectionThreshold	DetectionLabel	MinimumReads
S1	IW	25542	0	Presence	1
S1	IW	25542	1e-4	0.01%	3
S1	IW	25542	5e-4	0.05%	13
S1	IW	25542	0.001	0.1%	26
S2	IW	26764	0	Presence	1
S2	IW	26764	1e-4	0.01%	3
S2	IW	26764	5e-4	0.05%	14
S2	IW	26764	0.001	0.1%	27
S3	IW	12843	0	Presence	1
S3	IW	12843	1e-4	0.01%	2
S3	IW	12843	5e-4	0.05%	7
S3	IW	12843	0.001	0.1%	13
S4	IW	13280	0	Presence	1
S4	IW	13280	1e-4	0.01%	2
S4	IW	13280	5e-4	0.05%	7
S4	IW	13280	0.001	0.1%	14
S5	IW	17640	0	Presence	1
S5	IW	17640	1e-4	0.01%	2
S5	IW	17640	5e-4	0.05%	9
S5	IW	17640	0.001	0.1%	18
S6	IW	22525	0	Presence	1
S6	IW	22525	1e-4	0.01%	3
S6	IW	22525	5e-4	0.05%	12
S6	IW	22525	0.001	0.1%	23
S7	IW	17370	0	Presence	1
S7	IW	17370	1e-4	0.01%	2
S7	IW	17370	5e-4	0.05%	9
S7	IW	17370	0.001	0.1%	18
S9	IW	25295	0	Presence	1
S9	IW	25295	1e-4	0.01%	3
S9	IW	25295	5e-4	0.05%	13
S9	IW	25295	0.001	0.1%	26
S10	IW	31793	0	Presence	1
S10	IW	31793	1e-4	0.01%	4
S10	IW	31793	5e-4	0.05%	16
S10	IW	31793	0.001	0.1%	32
S11	IW	16285	0	Presence	1
S11	IW	16285	1e-4	0.01%	2
S11	IW	16285	5e-4	0.05%	9
S11	IW	16285	0.001	0.1%	17
S12	IW	11457	0	Presence	1
S12	IW	11457	1e-4	0.01%	2
S12	IW	11457	5e-4	0.05%	6
S12	IW	11457	0.001	0.1%	12
S13	IW	13580	0	Presence	1
S13	IW	13580	1e-4	0.01%	2
S13	IW	13580	5e-4	0.05%	7
S13	IW	13580	0.001	0.1%	14
S15	IW	20864	0	Presence	1
S15	IW	20864	1e-4	0.01%	3
S15	IW	20864	5e-4	0.05%	11
S15	IW	20864	0.001	0.1%	21
S16	IW	14312	0	Presence	1
S16	IW	14312	1e-4	0.01%	2
S16	IW	14312	5e-4	0.05%	8
S16	IW	14312	0.001	0.1%	15
S17	IW	28215	0	Presence	1
S17	IW	28215	1e-4	0.01%	3
S17	IW	28215	5e-4	0.05%	15
S17	IW	28215	0.001	0.1%	29
S18	IW	27945	0	Presence	1
S18	IW	27945	1e-4	0.01%	3
S18	IW	27945	5e-4	0.05%	14
S18	IW	27945	0.001	0.1%	28
S19	IW	15540	0	Presence	1
S19	IW	15540	1e-4	0.01%	2
S19	IW	15540	5e-4	0.05%	8
S19	IW	15540	0.001	0.1%	16
S20	IW	17170	0	Presence	1
S20	IW	17170	1e-4	0.01%	2
S20	IW	17170	5e-4	0.05%	9
S20	IW	17170	0.001	0.1%	18
S22	IW	21718	0	Presence	1
S22	IW	21718	1e-4	0.01%	3
S22	IW	21718	5e-4	0.05%	11
S22	IW	21718	0.001	0.1%	22
S23	IW	16485	0	Presence	1
S23	IW	16485	1e-4	0.01%	2
S23	IW	16485	5e-4	0.05%	9
S23	IW	16485	0.001	0.1%	17
S24	IW	12309	0	Presence	1
S24	IW	12309	1e-4	0.01%	2
S24	IW	12309	5e-4	0.05%	7
S24	IW	12309	0.001	0.1%	13
S25	IW	37374	0	Presence	1
S25	IW	37374	1e-4	0.01%	4
S25	IW	37374	5e-4	0.05%	19
S25	IW	37374	0.001	0.1%	38
S26	IW	35104	0	Presence	1
