ASV	NSTI	Domain	ClosestReferenceGenome
48292bb527301239168556057a7805bb	0.025342	bac	GCA_003762615.1
763af2e6cfd1d573893fa6d28aafc4b5	0.073476	bac	GCA_022510425.1
de1be320837d0ac367b4ccef7f7ef44c	0.073367	bac	GCA_022510425.1
288c8176059111c4c7fdfb0cd5afce64	0.117565	bac	GCA_022511125.1
c6f8879689d204423d60258f2759ebf1	0.010949	bac	GCA_003762875.1
c9e3a646d6b14e727ec78e0abe6aa878	0.0166	bac	GCF_001591685.1
b8083ad94a9a412e5d124d68d2da3343	0.217549	bac	GCA_000403335.2
ff33233ffebbe6e3720af8bba7e89f08	0.007795	bac	GCA_003762615.1
663baa27cddeac43b08f428e96650bf5	0.09123	bac	GCF_004766125.1
94be7094bb21b6425f166ebb9f64f64f	0.17104	bac	GCF_009676955.1
e6380dc8bedb392a5c2139c21c26a7e4	0.043937	bac	GCF_002933955.1
8726f3950f95ade7a06f46b7cf3de779	0.130261	bac	GCF_943193135.1
343635a5abc8d3b1dbd2b305eb0efe32	0.077547	bac	GCA_910575615.1
2a45f0b7f68a35504402988bcb8eb7fe	0.055057	bac	GCF_024397795.1
40c2346925c479d2f90d76aea73b0975	0.018176	bac	GCA_910575615.1
b639d3575f66b7b6b5dd908999072997	0.002967	bac	GCF_004803695.1
749f091c6dfc58f7a48d89cf4c0f3049	0.074	bac	GCA_910587035.1
86681c8e9c64b6683071cf185f9e3419	0.004659	bac	GCA_003762615.1
d307aef8086bbdb1c3e4f3d5511412dc	0.013927	bac	GCA_910575615.1
9272935a83a4b015099938a373d42cc5	0.04233	bac	GCF_000020225.1
8db33d54e5184b0f448ae140f793368a	0.007413	bac	GCF_004803695.1
5c5f6d5a2d45a21bc576e475985efa17	0.136362	bac	GCA_910579675.1
bac85f511e578b92b4a16264719bdb2d	0.078501	bac	GCF_003024925.1
6d5af1db8934361889a6fb8d80c70836	0.131158	bac	GCA_910577585.1
d6cecaaf52a711cc96417a5334067830	0.052107	bac	GCA_003762715.1
cebb9cfc1d8430f13650adacf98b0a61	0.030436	bac	GCF_004803915.1
daac2b933e609bc0b483a4c25c92a055	0.063577	bac	GCA_003762615.1
691eeed271e420c8e7a91d5ea0cf5431	0.012571	bac	GCF_003024805.1
20e568023c10eaac834f1c110aacea18	0.001437	bac	GCF_004353185.1
f3e89fa547a772288e6624c88135a47f	0.022652	bac	GCA_004102805.1
abd40160e03332710641ee74b1b42816	0.012656	bac	GCF_003024805.1
a895f151de7f3a3e9b84e15800425631	0.025388	bac	GCF_004803695.1
23fe12a325dfefcdb23447f43b6b896e	0.030568	bac	GCF_013166575.1
f5b23f626e3f2d2d1213f83c6de3e385	0.037047	bac	GCA_003762715.1
48634a509c9db2a42174d1920e5c3999	0.041992	bac	GCA_003612405.1
cfe4029cc35d2695cf0ce8c5ff332956	0.022409	bac	GCF_004570975.1
7e5d7cc681f5a0c25e0816a77d59ffb2	0.023622	bac	GCA_003762875.1
