FeatureID	SourceGenus	DisplayGenus	State	ExpectedProportion	ExpectedPercent	RankWithinState
Bacteroides	Bacteroides	Bacteroides	DMM-A	0.38810729054802595	38.81072905480259	1
Uknown	Uknown	Unclassified	DMM-A	0.22415740997701863	22.415740997701864	2
Faecalibacterium	Faecalibacterium	Faecalibacterium	DMM-A	0.13825801018176662	13.825801018176662	3
Roseburia	Roseburia	Roseburia	DMM-A	0.04467486595674717	4.467486595674717	4
Subdoligranulum	Subdoligranulum	Subdoligranulum	DMM-A	0.019065594494497642	1.9065594494497642	5
Dorea	Dorea	Dorea	DMM-A	0.01734916017677412	1.7349160176774119	6
Alistipes	Alistipes	Alistipes	DMM-A	0.0166092111139321	1.6609211113932099	7
Oscillibacter	Oscillibacter	Oscillibacter	DMM-A	0.015905491481512032	1.5905491481512033	8
Coprococcus	Coprococcus	Coprococcus	DMM-A	0.013222134681627515	1.3222134681627515	9
Ruminococcus	Ruminococcus	Ruminococcus	DMM-A	0.009542189154219003	0.9542189154219003	10
Hespellia	Hespellia	Hespellia	DMM-A	0.0068940007576292735	0.6894000757629274	11
Collinsella	Collinsella	Collinsella	DMM-A	0.006696606224910237	0.6696606224910238	12
Uknown	Uknown	Unclassified	DMM-B	0.33589957410655047	33.589957410655046	1
Bacteroides	Bacteroides	Bacteroides	DMM-B	0.22618596765972507	22.618596765972505	2
Faecalibacterium	Faecalibacterium	Faecalibacterium	DMM-B	0.0876338979106906	8.76338979106906	3
Alistipes	Alistipes	Alistipes	DMM-B	0.04017145272690761	4.017145272690761	4
Oscillibacter	Oscillibacter	Oscillibacter	DMM-B	0.03956089610783085	3.9560896107830845	5
Ruminococcus	Ruminococcus	Ruminococcus	DMM-B	0.03572546573616204	3.572546573616204	6
Subdoligranulum	Subdoligranulum	Subdoligranulum	DMM-B	0.03041250447252741	3.041250447252741	7
Roseburia	Roseburia	Roseburia	DMM-B	0.023189502891022465	2.3189502891022467	8
Coprococcus	Coprococcus	Coprococcus	DMM-B	0.019025353797941773	1.9025353797941773	9
Dorea	Dorea	Dorea	DMM-B	0.014941250999569259	1.4941250999569258	10
Coprobacillus	Coprobacillus	Coprobacillus	DMM-B	0.009494452601243642	0.9494452601243643	11
Anaerotruncus	Anaerotruncus	Anaerotruncus	DMM-B	0.00849395511961925	0.849395511961925	12
Uknown	Uknown	Unclassified	DMM-C	0.45191642285823064	45.191642285823065	1
Bacteroides	Bacteroides	Bacteroides	DMM-C	0.08339062555981423	8.339062555981423	2
Roseburia	Roseburia	Roseburia	DMM-C	0.05396224784126642	5.396224784126642	3
Dorea	Dorea	Dorea	DMM-C	0.04050283094945246	4.050283094945246	4
Faecalibacterium	Faecalibacterium	Faecalibacterium	DMM-C	0.039859102214255586	3.9859102214255584	5
Coprococcus	Coprococcus	Coprococcus	DMM-C	0.02308463957954035	2.308463957954035	6
Hespellia	Hespellia	Hespellia	DMM-C	0.01946146916098968	1.946146916098968	7
Collinsella	Collinsella	Collinsella	DMM-C	0.017577298371637882	1.7577298371637882	8
Streptococcus	Streptococcus	Streptococcus	DMM-C	0.016462921088443272	1.6462921088443272	9
Subdoligranulum	Subdoligranulum	Subdoligranulum	DMM-C	0.016245195287563314	1.6245195287563314	10
Coprobacillus	Coprobacillus	Coprobacillus	DMM-C	0.015796798578130402	1.5796798578130402	11
Oscillibacter	Oscillibacter	Oscillibacter	DMM-C	0.01204879045224441	1.2048790452244411	12
Uknown	Uknown	Unclassified	DMM-D	0.29142141921961767	29.142141921961766	1
Faecalibacterium	Faecalibacterium	Faecalibacterium	DMM-D	0.13804404219492547	13.804404219492547	2
Bacteroides	Bacteroides	Bacteroides	DMM-D	0.06786473569950147	6.786473569950147	3
Prevotella	Prevotella	Prevotella	DMM-D	0.05177013716590422	5.177013716590422	4
Roseburia	Roseburia	Roseburia	DMM-D	0.03630061064182383	3.6300610641823825	5
Subdoligranulum	Subdoligranulum	Subdoligranulum	DMM-D	0.03397114845572702	3.397114845572702	6
Dorea	Dorea	Dorea	DMM-D	0.0331773545331056	3.31773545331056	7
Oscillibacter	Oscillibacter	Oscillibacter	DMM-D	0.028435054992922534	2.8435054992922533	8
Coprococcus	Coprococcus	Coprococcus	DMM-D	0.028391924686505806	2.8391924686505807	9
Eubacterium	Eubacterium	Eubacterium	DMM-D	0.024687090233096735	2.4687090233096733	10
Ruminococcus	Ruminococcus	Ruminococcus	DMM-D	0.02363855187538984	2.363855187538984	11
Collinsella	Collinsella	Collinsella	DMM-D	0.02321927132189962	2.321927132189962	12
