FeatureID	SourceGenus	DisplayGenus	State	ExpectedProportion	ExpectedPercent
Acetanaerobacterium	Acetanaerobacterium	Acetanaerobacterium	DMM-A	0.0012309878420792009	0.12309878420792009
Acetivibrio	Acetivibrio	Acetivibrio	DMM-A	7.338217220948522e-4	0.07338217220948522
Acetobacterium	Acetobacterium	Acetobacterium	DMM-A	6.471832512606126e-6	6.471832512606126e-4
Acidaminococcus	Acidaminococcus	Acidaminococcus	DMM-A	0.0010089774892510811	0.10089774892510811
Actinobaculum	Actinobaculum	Actinobaculum	DMM-A	6.4502774206566315e-6	6.450277420656631e-4
Actinomyces	Actinomyces	Actinomyces	DMM-A	2.0081264910882575e-4	0.020081264910882576
Akkermansia	Akkermansia	Akkermansia	DMM-A	8.312083863656384e-4	0.08312083863656385
Alistipes	Alistipes	Alistipes	DMM-A	0.0166092111139321	1.6609211113932099
Allisonella	Allisonella	Allisonella	DMM-A	8.065602352051354e-4	0.08065602352051354
Anaerobacter	Anaerobacter	Anaerobacter	DMM-A	7.130786172784824e-5	0.007130786172784825
Anaerobiospirillum	Anaerobiospirillum	Anaerobiospirillum	DMM-A	6.45027742069077e-6	6.45027742069077e-4
Anaerofilum	Anaerofilum	Anaerofilum	DMM-A	1.362579003593375e-4	0.01362579003593375
Anaerofustis	Anaerofustis	Anaerofustis	DMM-A	6.4502774206566315e-6	6.450277420656631e-4
Anaerosporobacter	Anaerosporobacter	Anaerosporobacter	DMM-A	6.460636234667906e-6	6.460636234667907e-4
Anaerostipes	Anaerostipes	Anaerostipes	DMM-A	5.304584775484915e-4	0.05304584775484915
Anaerotruncus	Anaerotruncus	Anaerotruncus	DMM-A	0.005223175173039788	0.5223175173039788
Arthrobacter	Arthrobacter	Arthrobacter	DMM-A	7.093710572757908e-5	0.0070937105727579075
Asaccharobacter	Asaccharobacter	Asaccharobacter	DMM-A	0.001237708143819137	0.1237708143819137
Asticcacaulis	Asticcacaulis	Asticcacaulis	DMM-A	6.4502774206566315e-6	6.450277420656631e-4
Atopobium	Atopobium	Atopobium	DMM-A	6.4502774206566315e-6	6.450277420656631e-4
Bacteroides	Bacteroides	Bacteroides	DMM-A	0.38810729054802595	38.81072905480259
Barnesiella	Barnesiella	Barnesiella	DMM-A	0.0021960955237368294	0.21960955237368293
Bifidobacterium	Bifidobacterium	Bifidobacterium	DMM-A	0.0012015054902361807	0.12015054902361808
Brachyspira	Brachyspira	Brachyspira	DMM-A	6.4502774206566315e-6	6.450277420656631e-4
Bradyrhizobium	Bradyrhizobium	Bradyrhizobium	DMM-A	6.4502774206566315e-6	6.450277420656631e-4
Bulleidia	Bulleidia	Bulleidia	DMM-A	6.450277420656941e-6	6.450277420656941e-4
Butyricicoccus	Butyricicoccus	Butyricicoccus	DMM-A	0.0059977117490759065	0.5997711749075907
Butyricimonas	Butyricimonas	Butyricimonas	DMM-A	0.002027261051312261	0.2027261051312261
Butyrivibrio	Butyrivibrio	Butyrivibrio	DMM-A	1.284882296931087e-4	0.01284882296931087
Campylobacter	Campylobacter	Campylobacter	DMM-A	7.097544478170405e-5	0.007097544478170405
Catenibacterium	Catenibacterium	Catenibacterium	DMM-A	0.0014994979026726712	0.14994979026726712
Caulobacter	Caulobacter	Caulobacter	DMM-A	7.0940566396836e-5	0.0070940566396836
Citrobacter	Citrobacter	Citrobacter	DMM-A	6.602998958369524e-4	0.06602998958369524
Cloacibacillus	Cloacibacillus	Cloacibacillus	DMM-A	1.2096976650082231e-4	0.012096976650082232
Clostridium	Clostridium	Clostridium	DMM-A	0.00391646587003766	0.391646587003766
Collinsella	Collinsella	Collinsella	DMM-A	0.006696606224910237	0.6696606224910238
Coprobacillus	Coprobacillus	Coprobacillus	DMM-A	0.0059194388206861796	0.5919438820686179
Coprococcus	Coprococcus	Coprococcus	DMM-A	0.013222134681627515	1.3222134681627515
Coraliomargarita	Coraliomargarita	Coraliomargarita	DMM-A	7.06053481273766e-5	0.0070605348127376595
Coriobacterium	Coriobacterium	Coriobacterium	DMM-A	7.049679642231369e-5	0.0070496796422313684
Corynebacterium	Corynebacterium	Corynebacterium	DMM-A	6.488803557355235e-6	6.488803557355235e-4
