FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	TaxonomyStatus
Acetanaerobacterium						Acetanaerobacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Acetivibrio						Acetivibrio		Source genus category; higher and lower ranks are not distributed with the packaged table
Acetobacterium						Acetobacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Acidaminococcus						Acidaminococcus		Source genus category; higher and lower ranks are not distributed with the packaged table
Actinobaculum						Actinobaculum		Source genus category; higher and lower ranks are not distributed with the packaged table
Actinomyces						Actinomyces		Source genus category; higher and lower ranks are not distributed with the packaged table
Akkermansia						Akkermansia		Source genus category; higher and lower ranks are not distributed with the packaged table
Alistipes						Alistipes		Source genus category; higher and lower ranks are not distributed with the packaged table
Allisonella						Allisonella		Source genus category; higher and lower ranks are not distributed with the packaged table
Anaerobacter						Anaerobacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Anaerobiospirillum						Anaerobiospirillum		Source genus category; higher and lower ranks are not distributed with the packaged table
Anaerofilum						Anaerofilum		Source genus category; higher and lower ranks are not distributed with the packaged table
Anaerofustis						Anaerofustis		Source genus category; higher and lower ranks are not distributed with the packaged table
Anaerosporobacter						Anaerosporobacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Anaerostipes						Anaerostipes		Source genus category; higher and lower ranks are not distributed with the packaged table
Anaerotruncus						Anaerotruncus		Source genus category; higher and lower ranks are not distributed with the packaged table
Arthrobacter						Arthrobacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Asaccharobacter						Asaccharobacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Asticcacaulis						Asticcacaulis		Source genus category; higher and lower ranks are not distributed with the packaged table
Atopobium						Atopobium		Source genus category; higher and lower ranks are not distributed with the packaged table
Bacteroides						Bacteroides		Source genus category; higher and lower ranks are not distributed with the packaged table
Barnesiella						Barnesiella		Source genus category; higher and lower ranks are not distributed with the packaged table
Bifidobacterium						Bifidobacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Brachyspira						Brachyspira		Source genus category; higher and lower ranks are not distributed with the packaged table
Bradyrhizobium						Bradyrhizobium		Source genus category; higher and lower ranks are not distributed with the packaged table
Bulleidia						Bulleidia		Source genus category; higher and lower ranks are not distributed with the packaged table
Butyricicoccus						Butyricicoccus		Source genus category; higher and lower ranks are not distributed with the packaged table
Butyricimonas						Butyricimonas		Source genus category; higher and lower ranks are not distributed with the packaged table
Butyrivibrio						Butyrivibrio		Source genus category; higher and lower ranks are not distributed with the packaged table
Campylobacter						Campylobacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Catenibacterium						Catenibacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Caulobacter						Caulobacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Citrobacter						Citrobacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Cloacibacillus						Cloacibacillus		Source genus category; higher and lower ranks are not distributed with the packaged table
Clostridium						Clostridium		Source genus category; higher and lower ranks are not distributed with the packaged table
Collinsella						Collinsella		Source genus category; higher and lower ranks are not distributed with the packaged table
Coprobacillus						Coprobacillus		Source genus category; higher and lower ranks are not distributed with the packaged table
Coprococcus						Coprococcus		Source genus category; higher and lower ranks are not distributed with the packaged table
Coraliomargarita						Coraliomargarita		Source genus category; higher and lower ranks are not distributed with the packaged table
Coriobacterium						Coriobacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Corynebacterium						Corynebacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Desulfocurvus						Desulfocurvus		Source genus category; higher and lower ranks are not distributed with the packaged table
Desulfovibrio						Desulfovibrio		Source genus category; higher and lower ranks are not distributed with the packaged table
Dialister						Dialister		Source genus category; higher and lower ranks are not distributed with the packaged table
Dickeya						Dickeya		Source genus category; higher and lower ranks are not distributed with the packaged table
Dorea						Dorea		Source genus category; higher and lower ranks are not distributed with the packaged table
Dysgonomonas						Dysgonomonas		Source genus category; higher and lower ranks are not distributed with the packaged table
Eggerthella						Eggerthella		Source genus category; higher and lower ranks are not distributed with the packaged table
Enterobacter						Enterobacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Enterococcus						Enterococcus		Source genus category; higher and lower ranks are not distributed with the packaged table
Enterorhabdus						Enterorhabdus		Source genus category; higher and lower ranks are not distributed with the packaged table
Escherichia/Shigella						Escherichia/Shigella		Source genus category; higher and lower ranks are not distributed with the packaged table
Ethanoligenens						Ethanoligenens		Source genus category; higher and lower ranks are not distributed with the packaged table
Eubacterium						Eubacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Faecalibacterium						Faecalibacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Fusobacterium						Fusobacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Gemella						Gemella		Source genus category; higher and lower ranks are not distributed with the packaged table
Geosporobacter						Geosporobacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Gordonibacter						Gordonibacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Granulicatella						Granulicatella		Source genus category; higher and lower ranks are not distributed with the packaged table
Haemophilus						Haemophilus		Source genus category; higher and lower ranks are not distributed with the packaged table
Hallella						Hallella		Source genus category; higher and lower ranks are not distributed with the packaged table
Hespellia						Hespellia		Source genus category; higher and lower ranks are not distributed with the packaged table
Holdemania						Holdemania		Source genus category; higher and lower ranks are not distributed with the packaged table
Hydrogenoanaerobacterium						Hydrogenoanaerobacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Klebsiella						Klebsiella		Source genus category; higher and lower ranks are not distributed with the packaged table
Lachnobacterium						Lachnobacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Lactobacillus						Lactobacillus		Source genus category; higher and lower ranks are not distributed with the packaged table
Lactococcus						Lactococcus		Source genus category; higher and lower ranks are not distributed with the packaged table
Lactonifactor						Lactonifactor		Source genus category; higher and lower ranks are not distributed with the packaged table
Leuconostoc						Leuconostoc		Source genus category; higher and lower ranks are not distributed with the packaged table
Luteococcus						Luteococcus		Source genus category; higher and lower ranks are not distributed with the packaged table
