FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species
549322	Archaea	Crenarchaeota	Thermoprotei				
522457	Archaea	Crenarchaeota	Thermoprotei				
951	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobusacidocaldarius
244423	Archaea	Crenarchaeota	Sd-NA				
586076	Archaea	Crenarchaeota	Sd-NA				
246140	Archaea	Crenarchaeota	Sd-NA				
143239	Archaea	Crenarchaeota	Sd-NA	NRP-J			
244960	Archaea	Crenarchaeota	Sd-NA	NRP-J			
255340	Archaea	Crenarchaeota	Sd-NA	NRP-J			
144887	Archaea	Crenarchaeota	Sd-NA	NRP-J			
141782	Archaea	Crenarchaeota	Sd-NA	NRP-J			
215972	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	SAGMA-X		
31759	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	SAGMA-X		
30678	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	SAGMA-X		
138353	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
406058	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
30405	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
1126	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
46043	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
512519	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
554594	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
210741	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
550229	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
105798	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
183473	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
541313	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
540305	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
511243	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
568829	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae		
